ID	VARID	DOCULECT	GLOSS	FRENCH	ENGLISH_SHORT	FRENCH_SHORT	ENGLISH_CATEGORY	FRENCH_CATEGORY	VALUE_ORG	SINGULAR	PLURAL	FORM	PARSED FORM	MCF	RECONSTRUCTION	NOTE	NOTES					COGID	COGIDS		CONCEPT	POS
1	0	BankanTey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	jáwdì-m\\jáwdì, dá:bà-m\\dá:bà	jáwdì-m	jáwdì						< Ful jawdi 'riches, wealth; livestock' (pg. 162, Osborn et al.1993)	jáwdì-m	^ j á w d ì m $	dʒ á/a w d ì/i + m	dʒ á/a w d ì/i + m	3102	5986 5987	631	LIVESTOCK	noun
1	1	BankanTey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	jáwdì-m\\jáwdì, dá:bà-m\\dá:bà	dá:bà-m	dá:bà						< Ful daaba 'animal' < dabb Ar 'beast, animal'	jáwdì-m	^ j á w d ì m $	dʒ á/a w d ì/i + m	dʒ á/a w d ì/i + m			631	LIVESTOCK	noun
2	0	BenTey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àrsɛ̌:-m\\àrsɛ̌:	àrsɛ̌:-m	àrsɛ̌:						< Ful arsuku 'weath, luck, good fortune' < Ar arzāq 'wealth, good fortune'	àrsɛ̌:-m	^ à r s ɛ̌: m $	à/a r s ɛ̌:/ɛː + m	- à/a r - s - - ɛ̌:/ɛː + m	3103	5988 5987	631	LIVESTOCK	noun
3	0	Bunoge	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	kɔ́mbɔ̀	kɔ́mbɔ̀	kɔmbɔ=gè					hunt (noun) ; war (general Dogon)	-ge does not harmonize to the root (i.e. may be a clitic)  "the plural suffix is added just once, after the first adjective" (Heath 2017, pg. 82)	kɔ́mbɔ̀	^ k ɔ́ mb ɔ̀ $	k ɔ́/ɔ ⁿb ɔ̀/ɔ	k ɔ́/ɔ ⁿb ɔ̀/ɔ	3104	5989	631	LIVESTOCK	noun
4	0	DogulDomBendiely	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ́lɛ̀g, bɛ́lɛ̀gù	bɛ́lɛ̀-g	bɛlɛ-g-yà						-yà is the productive plural suffix. Note that the -g in both the singular and plural is a frozen class marker (see Heath 2016, p. 56-57)	bɛ́lɛ̀g	^ b ɛ́ l ɛ̀ g $	b ɛ́/ɛ l ɛ̀/ɛ ɡ	b ɛ́/ɛ l ɛ̀/ɛ ɡ	3105	5990	631	LIVESTOCK	noun
4	1	DogulDomBendiely	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ́lɛ̀g, bɛ́lɛ̀gù	bɛ́lɛ̀-gù	bɛlɛ-gi-yà						final vowel may be fronting due to [j], for example: bě:g (< /bè:gú/) bè:gí yà: ‘stick’	bɛ́lɛ̀g	^ b ɛ́ l ɛ̀ g $	b ɛ́/ɛ l ɛ̀/ɛ ɡ	b ɛ́/ɛ l ɛ̀/ɛ ɡ	3105	5990	631	LIVESTOCK	noun
5	0	DonnoSo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ̀lú	bɛ̀lú	bɛ̀lú						bɛ̀lú = 'sheep' in ToroTegu	bɛ̀lú	^ b ɛ̀ l ú $	b ɛ̀/ɛ l ú/u	b ɛ̀/ɛ l ú/u -	3105	5990	631	LIVESTOCK	noun
5	1	DonnoSo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bɛ̀lú	bɛ̀lú	bɛ̀lú=mbè						The plural marking is entirely optional in DonnoSo. -mbè is an explicit plural marking for all non-human nouns.	bɛ̀lú	^ b ɛ̀ l ú $	b ɛ̀/ɛ l ú/u	b ɛ̀/ɛ l ú/u -			631	LIVESTOCK	noun
6	0	JamsayGourou	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	gàrsɛ̀gɛ́	gàr sɛ̀gɛ́	gàr sɛ̀gɛ́					see Ful, Ar note above	Heath claims that Nonhuman nouns have no special morphology unless they are compounds. Is the gɛ́ of sɛ̀-gɛ́ part of an old noun class marking ? we tend to think so. In Jamsay, plurals can be marked with at the NP level with -bé to emphasize plurality.	gàrsɛ̀gɛ́	^ g à r s ɛ̀ g ɛ́ $	ɡ à/a r s ɛ̀/ɛ ɡ ɛ́/ɛ	ɡ à/a r - s ɛ̀/ɛ ɡ ɛ́/ɛ	3107	5988	631	LIVESTOCK	noun
7	0	JamsayDouentza	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àsɛ̀gɛ́, gàsɛ̀gɛ́	à sɛ̀gɛ́	à sɛ̀gɛ́=bé				*garu- sɛgɛ / *garu- sɛgɛ -mbo	see Ful, Ar note above	could be a compound composed of gàrá 'big' and sɛ́: 'good' or sɛ́gɛ́ 'to contribute' - considering meaning of jawdi in Fulfulde as 'goods' or 'wealth' (but would expect adjective to follow that which it modifies)	àsɛ̀gɛ́	^ à s ɛ̀ g ɛ́ $	à/a s ɛ̀/ɛ ɡ ɛ́/ɛ	- à/a - - s ɛ̀/ɛ ɡ ɛ́/ɛ			631	LIVESTOCK	noun
