DOCULECT,GLOSS,IPA
BankanTey,domestic animal (esp. livestock),jaw+di+m
BankanTey,domestic animal (esp. livestock),daaba+m
BenTey,domestic animal (esp. livestock),arsɛɛ+m
Bunoge,domestic animal (esp. livestock),kɔ+mbɔ
DogulDomBendiely,domestic animal (esp. livestock),bɛlɛ+g
DogulDomBendiely,domestic animal (esp. livestock),bɛlɛ+gu
DonnoSo,domestic animal (esp. livestock),bɛlu
DonnoSo,domestic animal (esp. livestock),bɛlu
JamsayGourou,domestic animal (esp. livestock),gar+sɛ+gɛ
JamsayDouentza,domestic animal (esp. livestock),asɛ+gɛ
JamsayDouentza,domestic animal (esp. livestock),gasɛ+gɛ
JamsayMondoro,domestic animal (esp. livestock),asɛ+gɛ
Mombo,domestic animal (esp. livestock),debu+bɛli
Mombo,domestic animal (esp. livestock),bɛli
BonduSoNajamba,domestic animal (esp. livestock),dumɛ+ŋgo
BonduSoKindige,domestic animal (esp. livestock),dumɔɔ+n
Nanga,domestic animal (esp. livestock),gasɛ+gɛ
Penange,domestic animal (esp. livestock),daaba
PergeTegu,domestic animal (esp. livestock),asɛ+gɛ
TebulUre,domestic animal (esp. livestock),asɛ+gɛ
TebulUre,domestic animal (esp. livestock),gasɛ+gɛ
TiranigeBoui,domestic animal (esp. livestock),bel
TiranigeNingo,domestic animal (esp. livestock),bɛli
TogoKan,domestic animal (esp. livestock),girⁿia+rusɛ+gɛ
TommoSoTongoTongo,domestic animal (esp. livestock),ginɛy+bɛlu
TommoSoTongoTongo,domestic animal (esp. livestock),bɛlu
TomoKanDiangassagou,domestic animal (esp. livestock),daabaa
ToroTegu,domestic animal (esp. livestock),aruza+ka
ToroTegu,domestic animal (esp. livestock),arza+ga
YandaDom,domestic animal (esp. livestock),azɛ+gɛ
YandaDom,domestic animal (esp. livestock),asɛ+gɛ
YornoSo,domestic animal (esp. livestock),arusɛ+gɛ
BankanTey,camel,ɔɔɲɛⁿ+m
BenTey,camel,ɔɔɲuwⁿɔ+m
Bunoge,camel,ɲɔŋɔ+mɛ
DogulDomBendiely,camel,yɔŋu+mɛ
DogulDomKundialang,camel,yɔŋ+mɛ
DonnoSo,camel,ɔŋɔyo+ŋo
JamsayGourou,camel,ɔɣɔyⁿu+wⁿo
JamsayDouentza,camel,ɔɣɔɲu+ŋo
Mombo,camel,ɲɔŋɔ+mɛ
BonduSoNajamba,camel,ɲɔŋɔ+mɛ
BonduSoKindige,camel,ŋɔŋɔ+l
Nanga,camel,ɔgɔɲɔ+ŋɔ
Penange,camel,ɲɔɔmɔ+y+ⁿ
PergeTegu,camel,ɔgɔɲu+wⁿo
TebulUre,camel,ɔgɔɲɔ+ŋɔ
Tiranige,camel,nje+leba
TogoKan,camel,ɔgɔɲɔ
TommoSoTongoTongo,camel,ɲoŋo+m
TomoKanDiangassagou,camel,ɲɔŋɛ+mɛ
TomoKanSegue,camel,ɲɔʔɔ+mɛ
ToroTegu,camel,ɲɔ
YandaDom,camel,ɔgɔɲɔ+ŋɔ
YornoSo,camel,ɔgɔyɔɔ+ⁿ
BankanTey,cat,numa+m
BenTey,cat,nini+wⁿɛ+m
Bunoge,cat,ɲaali
DogulDomBendiely,cat,gaaŋ
DogulDomKundialang,cat,gaaŋ
DonnoSo,cat,gam+ma
JamsayGourou,cat,nini+wⁿe
JamsayDouentza,cat,nini+wⁿe
Mombo,cat,gaawⁿe
BonduSoNajamba,cat,gaŋa
BonduSoBonduSoKindige,cat,gaŋa
Nanga,cat,do+ndi+ye
Penange,cat,gaa+ⁿ
PergeTegu,cat,nini+wⁿe
TebulUre,cat,bal+ma
Tiranige,cat,gaana
TogoKan,cat,dono
TommoSoTongoTongo,cat,gam+ma
TomoKanDiangassagou,cat,do+ndo
TomoKanSegue,cat,do+ndo
ToroTegu,cat,niwⁿa
YandaDom,cat,gaa+ⁿ
YornoSo,cat,ga+ma
BankanTey,calf,naayi+m
BenTey,calf,naayi+m
Bunoge,calf,naabe
DogulDomBendiely,calf,naague+gu
DonnoSo,calf,naŋaii
JamsayDouentza,calf,naŋii+ⁿ
Mombo,calf,naawee
BonduSoNajamba,calf,naa+mbii
Nanga,calf,naŋa+yii
Penange,calf,naawee
PergeTegu,calf,naŋii+ⁿ
TebulUre,calf,naaɛdɛ
TogoKan,calf,naŋii+ⁿ
TommoSoTongoTongo,calf,naaii
TommoSoTongoTongo,calf,ɔliinaa
TomoKanDiangassagou,calf,naŋa+do+mbe
TomoKanSegue,calf,naʔⁿa+do+mbe+ⁿ
ToroTegu,calf,naŋai+rⁿii
YandaDom,calf,nay+ye
YornoSo,calf,naaii
BenTey,cow (female),naaya+m
JamsayDouentza,cow (female),naŋa+naa
Mombo,cow (female),naayɔɔ
BonduSoNajamba,cow (female),nɛɛyɛɛ
BonduSoKindige,cow (female),nɛɛ
Nanga,cow (female),naŋa+yaa
TogoKan,cow (female),naŋa+naa
TommoSoTongoTongo,cow (female),naayaa
ToroTegu,cow (female),naŋa+ya
YandaDom,cow (female),naayɛ
YornoSo,cow (female),naayaa
BenTey,bull,naaarⁿa+m
DogulDomBendiely,bull,naagua+na
DonnoSo,bull,naŋaa+na
JamsayDouentza,bull,naŋaa+rⁿa
Mombo,bull,naawa+la
BonduSoNajamba,bull,nɛɛane
Nanga,bull,naŋaa+rⁿa
TebulUre,bull,naaarⁿa
TogoKan,bull,naŋaa+rⁿa
TommoSoTongoTongo,bull,naaana
TomoKanSegue,bull,naʔⁿa+ju+ŋgu
ToroTegu,bull,naŋaa+ra
YornoSo,bull,naaarⁿa
Ampari,dog,ijɛ
BankanTey,dog,njeru+m
BenTey,dog,injɛ+m
Bunoge,dog,ʔin+jɛ
DogulDomBendiely,dog,uŋɔ
DogulDomKundialang,dog,uŋɔŋ
DonnoSo,dog,idu
JamsayGourou,dog,izu
JamsayDouentza,dog,iju
JamsayMondoro,dog,iju
Mombo,dog,injɛ
BonduSoNajamba,dog,ŋg+wɛɛ
Nanga,dog,nɛrⁿi
Penange,dog,ŋkɛ
PergeTegu,dog,isu
TebulUre,dog,injɛɛ
Tiranige,dog,iinjɛ
Tiranige,dog,ii+ŋgɛ
TogoKan,dog,isi
TommoSoTongoTongo,dog,ise
TomoKanDiangassagou,dog,uju
TomoKanSegue,dog,ʔuju
ToroTegu,dog,nenu
YandaDom,dog,injɛ
YandaDom,dog,njɛ
YornoSo,dog,iju
BankanTey,goat,bɛru+m
BenTey,goat,bɛri+m
BenTey,goat,bɛru+m
Bunoge,goat,kilɔ
DogulDomBendiely,goat,inaa
DogulDomKundialang,goat,inaa
DonnoSo,goat,ɛnɛ
JamsayGourou,goat,bɛru
JamsayDouentza,goat,bɛru
JamsayDouentza,goat,bɛn+naa
JamsayDouentza,goat,ɛrⁿɛ
JamsayMondoro,goat,bɛru
Mombo,goat,una
BonduSoNajamba,goat,ine
Nanga,goat,bɛri
Nanga,goat,mirⁿe
Nanga,goat,mɛrⁿɛ
Penange,goat,una
PergeTegu,goat,ɛrⁿɛ
TebulUre,goat,irⁿee
TebulUre,goat,irⁿee
Tiranige,goat,una
