DOCULECT,GLOSS,IPA
BankanTey,domestic animal (esp. livestock),j a w - d i - m
BankanTey,domestic animal (esp. livestock),d aa b a - m
BenTey,domestic animal (esp. livestock),a r s ɛɛ - m
Bunoge,domestic animal (esp. livestock),k ɔ - m b ɔ
DogulDomBendiely,domestic animal (esp. livestock),b ɛ l ɛ - g
DogulDomBendiely,domestic animal (esp. livestock),b ɛ l ɛ - g u
DonnoSo,domestic animal (esp. livestock),b ɛ l u
DonnoSo,domestic animal (esp. livestock),b ɛ l u
JamsayGourou,domestic animal (esp. livestock),g a r - s ɛ - g ɛ
JamsayDouentza,domestic animal (esp. livestock),a s ɛ - g ɛ
JamsayDouentza,domestic animal (esp. livestock),g a s ɛ - g ɛ
JamsayMondoro,domestic animal (esp. livestock),a s ɛ - g ɛ
Mombo,domestic animal (esp. livestock),d e b u - b ɛ l i
Mombo,domestic animal (esp. livestock),b ɛ l i
BonduSoNajamba,domestic animal (esp. livestock),d u m ɛ - ŋ g o
BonduSoKindige,domestic animal (esp. livestock),d u m ɔɔ - n
Nanga,domestic animal (esp. livestock),g a s ɛ - g ɛ
Penange,domestic animal (esp. livestock),d aa b a
PergeTegu,domestic animal (esp. livestock),a s ɛ - g ɛ
TebulUre,domestic animal (esp. livestock),a s ɛ - g ɛ
TebulUre,domestic animal (esp. livestock),g a s ɛ - g ɛ
TiranigeBoui,domestic animal (esp. livestock),b e l
TiranigeNingo,domestic animal (esp. livestock),b ɛ l i
TogoKan,domestic animal (esp. livestock),g i rⁿ i a - r u s ɛ - g ɛ
TommoSoTongoTongo,domestic animal (esp. livestock),g i n ɛ y - b ɛ l u
TommoSoTongoTongo,domestic animal (esp. livestock),b ɛ l u
TomoKanDiangassagou,domestic animal (esp. livestock),d aa b aa
ToroTegu,domestic animal (esp. livestock),a r u z a - k a
ToroTegu,domestic animal (esp. livestock),a r z a - g a
YandaDom,domestic animal (esp. livestock),a z ɛ - g ɛ
YandaDom,domestic animal (esp. livestock),a s ɛ - g ɛ
YornoSo,domestic animal (esp. livestock),a r u s ɛ - g ɛ
BankanTey,camel,ɔɔ ɲ ɛⁿ - m
BenTey,camel,ɔɔ ɲ u wⁿ ɔ - m
Bunoge,camel,ɲ ɔ ŋ ɔ - m ɛ
DogulDomBendiely,camel,y ɔ ŋ u - m ɛ
DogulDomKundialang,camel,y ɔ ŋ - m ɛ
DonnoSo,camel,ɔ ŋ ɔ y o - ŋ o
JamsayGourou,camel,ɔ ɣ ɔ yⁿ u - wⁿ o
JamsayDouentza,camel,ɔ ɣ ɔ ɲ u - ŋ o
Mombo,camel,ɲ ɔ ŋ ɔ - m ɛ
BonduSoNajamba,camel,ɲ ɔ ŋ ɔ - m ɛ
BonduSoKindige,camel,ŋ ɔ ŋ ɔ - l
Nanga,camel,ɔ g ɔ ɲ ɔ - ŋ ɔ
Penange,camel,ɲ ɔɔ m ɔ - y - ⁿ
PergeTegu,camel,ɔ g ɔ ɲ u - wⁿ o
TebulUre,camel,ɔ g ɔ ɲ ɔ - ŋ ɔ
Tiranige,camel,n j e - l e b a
TogoKan,camel,ɔ g ɔ ɲ ɔ
TommoSoTongoTongo,camel,ɲ o ŋ o - m
TomoKanDiangassagou,camel,ɲ ɔ ŋ ɛ - m ɛ
TomoKanSegue,camel,ɲ ɔ ʔ ɔ - m ɛ
ToroTegu,camel,ɲ ɔ
YandaDom,camel,ɔ g ɔ ɲ ɔ - ŋ ɔ
YornoSo,camel,ɔ g ɔ y ɔɔ - ⁿ
BankanTey,cat,n u m a - m
BenTey,cat,n i n i - wⁿ ɛ - m
Bunoge,cat,ɲ aa l i
DogulDomBendiely,cat,g aa ŋ
DogulDomKundialang,cat,g aa ŋ
DonnoSo,cat,g a m - m a
JamsayGourou,cat,n i n i - wⁿ e
JamsayDouentza,cat,n i n i - wⁿ e
Mombo,cat,g aa wⁿ e
BonduSoNajamba,cat,g a ŋ a
BonduSoBonduSoKindige,cat,g a ŋ a
Nanga,cat,d o - n d i - y e
Penange,cat,g aa - ⁿ
PergeTegu,cat,n i n i - wⁿ e
TebulUre,cat,b a l - m a
Tiranige,cat,g aa n a
TogoKan,cat,d o n o
TommoSoTongoTongo,cat,g a m - m a
TomoKanDiangassagou,cat,d o - n d o
TomoKanSegue,cat,d o - n d o
ToroTegu,cat,n i wⁿ a
YandaDom,cat,g aa - ⁿ
YornoSo,cat,g a - m a
BankanTey,calf,n aa y i - m
BenTey,calf,n aa y i - m
Bunoge,calf,n aa b e
DogulDomBendiely,calf,n aa g u e - g u
DonnoSo,calf,n a ŋ a ii
JamsayDouentza,calf,n a ŋ ii - ⁿ
Mombo,calf,n aa w ee
BonduSoNajamba,calf,n aa - m b ii
Nanga,calf,n a ŋ a - y ii
Penange,calf,n aa w ee
PergeTegu,calf,n a ŋ ii - ⁿ
TebulUre,calf,n aa ɛ d ɛ
TogoKan,calf,n a ŋ ii - ⁿ
TommoSoTongoTongo,calf,n aa ii
TommoSoTongoTongo,calf,ɔ l ii n aa
TomoKanDiangassagou,calf,n a ŋ a - d o - m b e
TomoKanSegue,calf,n a ʔⁿ a - d o - m b e - ⁿ
ToroTegu,calf,n a ŋ a i - rⁿ ii
YandaDom,calf,n a y - y e
YornoSo,calf,n aa ii
BenTey,cow (female),n aa y a - m
JamsayDouentza,cow (female),n a ŋ a - n aa
Mombo,cow (female),n aa y ɔɔ
BonduSoNajamba,cow (female),n ɛɛ y ɛɛ
BonduSoKindige,cow (female),n ɛɛ
Nanga,cow (female),n a ŋ a - y aa
TogoKan,cow (female),n a ŋ a - n aa
TommoSoTongoTongo,cow (female),n aa y aa
ToroTegu,cow (female),n a ŋ a - y a
YandaDom,cow (female),n aa y ɛ
YornoSo,cow (female),n aa y aa
BenTey,bull,n aaa rⁿ a - m
DogulDomBendiely,bull,n aa g u a - n a
DonnoSo,bull,n a ŋ aa - n a
JamsayDouentza,bull,n a ŋ aa - rⁿ a
Mombo,bull,n aa w a - l a
BonduSoNajamba,bull,n ɛɛ a n e
Nanga,bull,n a ŋ aa - rⁿ a
TebulUre,bull,n aaa rⁿ a
TogoKan,bull,n a ŋ aa - rⁿ a
TommoSoTongoTongo,bull,n aaa n a
TomoKanSegue,bull,n a ʔⁿ a - j u - ŋ g u
ToroTegu,bull,n a ŋ aa - r a
YornoSo,bull,n aaa rⁿ a
Ampari,dog,i j ɛ
BankanTey,dog,n j e r u - m
BenTey,dog,i n j ɛ - m
Bunoge,dog,ʔ i n - j ɛ
DogulDomBendiely,dog,u ŋ ɔ
DogulDomKundialang,dog,u ŋ ɔ ŋ
DonnoSo,dog,i d u
JamsayGourou,dog,i z u
JamsayDouentza,dog,i j u
JamsayMondoro,dog,i j u
Mombo,dog,i n j ɛ
BonduSoNajamba,dog,ŋ g - w ɛɛ
Nanga,dog,n ɛ rⁿ i
Penange,dog,ŋ k ɛ
PergeTegu,dog,i s u
TebulUre,dog,i n j ɛɛ
Tiranige,dog,ii n j ɛ
Tiranige,dog,ii - ŋ g ɛ
TogoKan,dog,i s i
TommoSoTongoTongo,dog,i s e
