# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA
#
17123	Ampari	(1Pl subject pronominal)	n
17124	BenTey	(1Pl subject pronominal)	y
17125	Bunoge	(1Pl subject pronominal)	ŋ
17126	DogulDomBendiely	(1Pl subject pronominal)	o
17127	DonnoSo	(1Pl subject pronominal)	ŋ
17128	DonnoSo	(1Pl subject pronominal)	ŋ
17129	JamsayDouentza	(1Pl subject pronominal)	y
17130	Mombo	(1Pl subject pronominal)	n
17131	BonduSoNajamba	(1Pl subject pronominal)	y
17132	Nanga	(1Pl subject pronominal)	y
17133	Penange	(1Pl subject pronominal)	ŋ
17134	PergeTegu	(1Pl subject pronominal)	y
17135	TebulUre	(1Pl subject pronominal)	yⁿ
17136	Tiranige	(1Pl subject pronominal)	ni
17137	Tiranige	(1Pl subject pronominal)	ni#v
17138	TogoKan	(1Pl subject pronominal)	ɛmɛ
17139	TommoSoTongoTongo	(1Pl subject pronominal)	u
17140	TomoKanDiangassagou	(1Pl subject pronominal)	a
17141	ToroTegu	(1Pl subject pronominal)	i
17142	YandaDom	(1Pl subject pronominal)	y
#
17096	Ampari	(1Sg independent pronoun)	mi
17097	BenTey	(1Sg independent pronoun)	i
17098	Bunoge	(1Sg independent pronoun)	mi
17099	DogulDomBendiely	(1Sg independent pronoun)	mi
17100	DogulDomKundialang	(1Sg independent pronoun)	mi
17101	DonnoSo	(1Sg independent pronoun)	mi
17102	JamsayDouentza	(1Sg independent pronoun)	mi
17103	BonduSoNajamba	(1Sg independent pronoun)	mi
17104	Nanga	(1Sg independent pronoun)	iiⁿ
17105	Penange	(1Sg independent pronoun)	mi
17106	PergeTegu	(1Sg independent pronoun)	mi
17107	TebulUre	(1Sg independent pronoun)	mi
17108	Tiranige	(1Sg independent pronoun)	mi+wⁿ
17109	Tiranige	(1Sg independent pronoun)	mi
17110	TogoKan	(1Sg independent pronoun)	iⁿ
17111	TommoSoTongoTongo	(1Sg independent pronoun)	mi
17112	TomoKanSegue	(1Sg independent pronoun)	mi
17113	ToroTegu	(1Sg independent pronoun)	mi
17114	ToroTegu	(1Sg independent pronoun)	mᵇi
17115	YandaDom	(1Sg independent pronoun)	mi
17116	YornoSo	(1Sg independent pronoun)	mu
#
17117	JamsayDouentza	(3Pl human pronoun)	be
17118	PergeTegu	(3Pl human pronoun)	be
17119	TogoKan	(3Pl human pronoun)	be
17120	TomoKanSegue	(3Pl human pronoun)	bo
17121	ToroTegu	(3Pl human pronoun)	be
17122	YornoSo	(3Pl human pronoun)	be
#
17143	DogulDomBendiely	(3Sg all-purpose subject pronominal)	na
17144	TommoSoTongoTongo	(3Sg all-purpose subject pronominal)	wo
#
9511	BenTey	(Muslim) pray (verb only)	sal+a
9512	DogulDomBendiely	(Muslim) pray (verb only)	sɛn+ɛ
9513	DogulDomKundialang	(Muslim) pray (verb only)	sɛn+ɛ
9514	DonnoSo	(Muslim) pray (verb only)	sɛn+ɛ
9515	JamsayGourou	(Muslim) pray (verb only)	sal+a
9516	JamsayDouentza	(Muslim) pray (verb only)	sal+a
9517	Mombo	(Muslim) pray (verb only)	sand+e
9518	BonduSoNajamba	(Muslim) pray (verb only)	san
9519	Nanga	(Muslim) pray (verb only)	sand+i
9520	PergeTegu	(Muslim) pray (verb only)	sal+a
9521	TebulUre	(Muslim) pray (verb only)	sarⁿ+a
9522	TogoKan	(Muslim) pray (verb only)	sarⁿ+a
9523	TommoSoTongoTongo	(Muslim) pray (verb only)	sɛn+ɛ
9524	YandaDom	(Muslim) pray (verb only)	san
9525	YornoSo	(Muslim) pray (verb only)	sɛrⁿ+ɛ
#
9490	BankanTey	(Muslim) pray, say or perform one's prayer	jiŋg+ar+ukaŋ
9491	BenTey	(Muslim) pray, say or perform one's prayer	sal+u+sal+a
9492	BenTey	(Muslim) pray, say or perform one's prayer	sal+sal+a
9493	Bunoge	(Muslim) pray, say or perform one's prayer	sɛn+i+kan+i
9494	DogulDomBendiely	(Muslim) pray, say or perform one's prayer	sɛɛn+sɛn+ɛ
9495	DogulDomKundialang	(Muslim) pray, say or perform one's prayer	sɛn+ɛ
9496	DonnoSo	(Muslim) pray, say or perform one's prayer	sɛn+u+sɛn+ɛ
9497	JamsayGourou	(Muslim) pray, say or perform one's prayer	sal+u+sal+a
9498	JamsayDouentza	(Muslim) pray, say or perform one's prayer	sal+sal+a
9499	Mombo	(Muslim) pray, say or perform one's prayer	sand+is+and+e
9500	BonduSoNajamba	(Muslim) pray, say or perform one's prayer	san+san
9501	Nanga	(Muslim) pray, say or perform one's prayer	sand+is+and+i
9502	Penange	(Muslim) pray, say or perform one's prayer	sɛnd+ik+an
9503	PergeTegu	(Muslim) pray, say or perform one's prayer	sal+sal+a
9504	TebulUre	(Muslim) pray, say or perform one's prayer	san+sarⁿ+a
9505	Tiranige	(Muslim) pray, say or perform one's prayer	saan+i+kan+u
9506	TogoKan	(Muslim) pray, say or perform one's prayer	saⁿsarⁿ+a
9507	TommoSoTongoTongo	(Muslim) pray, say or perform one's prayer	sɛn+u+sɛn+ɛ
9508	ToroTegu	(Muslim) pray, say or perform one's prayer	karⁿ+a
9509	YandaDom	(Muslim) pray, say or perform one's prayer	san+san
9510	YornoSo	(Muslim) pray, say or perform one's prayer	sɛn+sɛrⁿ+ɛ
#
10537	BankanTey	(a) bruise (from a blow)	pu+ŋka
10538	BenTey	(a) bruise (from a blow)	pu+ŋgu+yii
10539	BenTey	(a) bruise (from a blow)	go+ŋgo+ro+gu+nu+m
10540	DonnoSo	(a) bruise (from a blow)	o+mbo+gojo+ru
10541	JamsayDouentza	(a) bruise (from a blow)	puŋ
10542	JamsayMondoro	(a) bruise (from a blow)	puŋ
10543	Mombo	(a) bruise (from a blow)	aman+je
10544	BonduSoNajamba	(a) bruise (from a blow)	gugu+lulu
10545	Nanga	(a) bruise (from a blow)	go+ndo+go+pɛ+tɛ
10546	PergeTegu	(a) bruise (from a blow)	pu+ŋgu
10547	TommoSoTongoTongo	(a) bruise (from a blow)	ja+ŋgi+yi+le
10548	ToroTegu	(a) bruise (from a blow)	ku+ŋka
10549	YandaDom	(a) bruise (from a blow)	sin+zupɔ+ju
10550	YornoSo	(a) bruise (from a blow)	jarⁿiy+ⁿ
#
13080	BenTey	(a) guard, watchman	ɔrⁿɔgɔ+yⁿu+m
13081	DonnoSo	(a) guard, watchman	yalu+kadu+binɛ
13082	JamsayDouentza	(a) guard, watchman	diiⁿti+gen
13083	Mombo	(a) guard, watchman	nɔd+yanɔ+di
13084	Nanga	(a) guard, watchman	gɔyⁿ+gɔy+ⁿ
13085	Tiranige	(a) guard, watchman	doo+ŋge
13086	TogoKan	(a) guard, watchman	ɲaka+juwa
13087	TommoSoTongoTongo	(a) guard, watchman	ndɛdo+mmu+dɔm+minɛ
13088	ToroTegu	(a) guard, watchman	metu+metu+nu
13089	YandaDom	(a) guard, watchman	dɔ+mu
#
9780	BenTey	(a) sacrifice (e.g. a slaughtered animal)	sadi+ga
9781	DogulDomBendiely	(a) sacrifice (e.g. a slaughtered animal)	sara+ga
9782	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sala+mbɔ
9783	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sar+ga
9784	JamsayDouentza	(a) sacrifice (e.g. a slaughtered animal)	sada+ka
9785	Mombo	(a) sacrifice (e.g. a slaughtered animal)	sara+ga
9786	Nanga	(a) sacrifice (e.g. a slaughtered animal)	sari+ga
9787	Tiranige	(a) sacrifice (e.g. a slaughtered animal)	sala+mpɔ
9788	TogoKan	(a) sacrifice (e.g. a slaughtered animal)	saru+ga
9789	TommoSoTongoTongo	(a) sacrifice (e.g. a slaughtered animal)	sala+mbɔ
9790	ToroTegu	(a) sacrifice (e.g. a slaughtered animal)	sada+ka
9791	YandaDom	(a) sacrifice (e.g. a slaughtered animal)	sala+mbɔ
#
12222	BenTey	(a) shop, store	bidi+gi
12223	Bunoge	(a) shop, store	biti+gi
12224	DonnoSo	(a) shop, store	budi+gu
12225	JamsayDouentza	(a) shop, store	bidi+gu
12226	Mombo	(a) shop, store	biri+gi
12227	Nanga	(a) shop, store	biti+ki
12228	Penange	(a) shop, store	bir+gi
12229	Tiranige	(a) shop, store	bidi+gi
12230	TogoKan	(a) shop, store	biti+gi
12231	TommoSoTongoTongo	(a) shop, store	bidi+k
12232	ToroTegu	(a) shop, store	biti+ki
12233	ToroTegu	(a) shop, store	dɔru+dɔrui+lo
12234	YandaDom	(a) shop, store	bidi+gu
#
7768	BonduSoNajamba	(a) swelling (of a wound)	amiyɛ+ŋgo
7769	TogoKan	(a) swelling (of a wound)	pide
7770	TommoSoTongoTongo	(a) swelling (of a wound)	piiri+ye
7771	YornoSo	(a) swelling (of a wound)	piiree
#
4327	BankanTey	(act of) fasting	mb+u+bup+ay
4328	BankanTey	(act of) fasting	kɔr+ka
4329	BenTey	(act of) fasting	moop+a+gi+i
4330	DogulDomKundialang	(act of) fasting	kor+ka
4331	DonnoSo	(act of) fasting	kɔr+gɔ
4332	JamsayDouentza	(act of) fasting	kaap+a+gu
4333	Mombo	(act of) fasting	kɔr+ka
4334	BonduSoNajamba	(act of) fasting	ibip+a+gil+e
4335	Nanga	(act of) fasting	nɔɔp+a+gi
4336	Penange	(act of) fasting	sus+uⁿtul+e
4337	Penange	(act of) fasting	sus+uⁿnib+o
4338	PergeTegu	(act of) fasting	kaap+a+gu
4339	TebulUre	(act of) fasting	mb+u+pag+u
4340	Tiranige	(act of) fasting	ɔmɔp+a+ga
4341	TogoKan	(act of) fasting	kaⁿpag+u
4342	TommoSoTongoTongo	(act of) fasting	aŋap+a+gu
4343	TommoSoTongoTongo	(act of) fasting	kɔr+ka
4344	TomoKanSegue	(act of) fasting	sus+uⁿ
4345	ToroTegu	(act of) fasting	kap+a+gu
4346	YandaDom	(act of) fasting	mb+o+pag+u
4347	YornoSo	(act of) fasting	aŋap+a+gu
#
4057	BankanTey	(any) alcoholic beverage	kɔzɔ
4058	BenTey	(any) alcoholic beverage	kɔn+jɔ
4059	DogulDomBendiely	(any) alcoholic beverage	kɔ+ɲjɔ
4060	JamsayDouentza	(any) alcoholic beverage	kɔɲɔ
4061	Mombo	(any) alcoholic beverage	kɔ+nd+yɔ
4062	BonduSoNajamba	(any) alcoholic beverage	kɔn+jɛ+ŋge
4063	Nanga	(any) alcoholic beverage	kɔn+jɔ
4064	PergeTegu	(any) alcoholic beverage	kɔn+jɔ
4065	TogoKan	(any) alcoholic beverage	kɛɲɛ
4066	TommoSoTongoTongo	(any) alcoholic beverage	kɔn+jɔ
4067	ToroTegu	(any) alcoholic beverage	kɔⁿsɔ
4068	YandaDom	(any) alcoholic beverage	kɔn+zɔ
4069	YornoSo	(any) alcoholic beverage	kɔɲɔ
#
4610	Nanga	(any) fish trap	isiyɔ+gi
4611	TommoSoTongoTongo	(any) fish trap	jɔɔ+ⁿ
4612	ToroTegu	(any) fish trap	sarⁿa
#
6324	DogulDomBendiely	(any) men's palaver shed	pay+weyo+go
6325	DogulDomKundialang	(any) men's palaver shed	anuwe+ja+ŋga
6326	Mombo	(any) men's palaver shed	jawⁿa+bay+ⁿ
6327	Nanga	(any) men's palaver shed	arⁿaɔɔ
6328	Tiranige	(any) men's palaver shed	yaŋa
6329	TommoSoTongoTongo	(any) men's palaver shed	anam+do+m
6330	TommoSoTongoTongo	(any) men's palaver shed	anam+ja+ŋga
6331	YornoSo	(any) men's palaver shed	togu+naa
#
10388	BankanTey	(blood from a serious wound) flow, gush out, pour out	yɔw+ɔ
10389	BenTey	(blood from a serious wound) flow, gush out, pour out	toot+i
10390	JamsayDouentza	(blood from a serious wound) flow, gush out, pour out	yuw+ɔ
10391	Mombo	(blood from a serious wound) flow, gush out, pour out	gwe+e
10392	BonduSoNajamba	(blood from a serious wound) flow, gush out, pour out	siy+ɛ
10393	Nanga	(blood from a serious wound) flow, gush out, pour out	tiy+ɛ
10394	TommoSoTongoTongo	(blood from a serious wound) flow, gush out, pour out	go+o
10395	ToroTegu	(blood from a serious wound) flow, gush out, pour out	zɔ+ɔ
10396	YornoSo	(blood from a serious wound) flow, gush out, pour out	togɛ+ɛ
#
874	DogulDomKundialang	(child) be born	nal+ye
875	BonduSoNajamba	(child) be born	nal+i+yɛ
876	TommoSoTongoTongo	(child) be born	nal+i+yɛ
877	YornoSo	(child) be born	narⁿɛ+ɛ
#
9950	BankanTey	(colonial) army	lar+mɛ
9951	BenTey	(colonial) army	sedaa+su
9952	DogulDomBendiely	(colonial) army	soraa+s
9953	JamsayDouentza	(colonial) army	lar+mɛ
9954	Mombo	(colonial) army	ar+mee
9955	PergeTegu	(colonial) army	sodaa+su
9956	TogoKan	(colonial) army	sɔdaa+ju
9957	TommoSoTongoTongo	(colonial) army	ansaa+rakɔ+mbɔa+na+m
9958	ToroTegu	(colonial) army	saru+rusu
9959	YornoSo	(colonial) army	lar+me
#
13421	BankanTey	(dog) howl, bay (verb only)	loor+o
13422	Mombo	(dog) howl, bay (verb only)	kɔm+ɛ
13423	BonduSoNajamba	(dog) howl, bay (verb only)	iniy+e
13424	Nanga	(dog) howl, bay (verb only)	gund+o
13425	PergeTegu	(dog) howl, bay (verb only)	bool+o
13426	TommoSoTongoTongo	(dog) howl, bay (verb only)	kood+o
13427	YandaDom	(dog) howl, bay (verb only)	kod+o
13428	YornoSo	(dog) howl, bay (verb only)	pi+i
#
15147	Ampari	(e.g. bird) fly	kir+i+ye
15148	BankanTey	(e.g. bird) fly	kis+i+ye
15149	BenTey	(e.g. bird) fly	kis+i+ye
15150	Bunoge	(e.g. bird) fly	pil+le
15151	DonnoSo	(e.g. bird) fly	kile+e
15152	JamsayGourou	(e.g. bird) fly	pir+e
15153	JamsayDouentza	(e.g. bird) fly	cir+e
15154	Mombo	(e.g. bird) fly	pil+ye+e
15155	BonduSoNajamba	(e.g. bird) fly	pir+i+ye
15156	BonduSoNajamba	(e.g. bird) fly	pil+i+ye
15157	Nanga	(e.g. bird) fly	kis+i+ye
15158	Penange	(e.g. bird) fly	pir+i+ge
15159	PergeTegu	(e.g. bird) fly	kir+i+ye
15160	TebulUre	(e.g. bird) fly	cil+li+i
15161	Tiranige	(e.g. bird) fly	pil+i+yo
15162	TogoKan	(e.g. bird) fly	kir+i+kir+i+i
15163	TommoSoTongoTongo	(e.g. bird) fly	kiil+i+ye
15164	ToroTegu	(e.g. bird) fly	cir+o
15165	YandaDom	(e.g. bird) fly	kil+i+ye
15166	YornoSo	(e.g. bird) fly	kilɛ+ɛ
#
15330	BankanTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	taan+i+gaŋ
15331	BenTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bus+o
15332	JamsayDouentza	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buj+o
15333	JamsayMondoro	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	toŋ+o+kun+o
15334	Mombo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	taŋg+am+i
15335	BonduSoNajamba	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	simb+ir+ɛgan
15336	Nanga	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bus+o
15337	PergeTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	sus+u+ro
15338	PergeTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bus+o
15339	TogoKan	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buj+o
15340	TommoSoTongoTongo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	taŋ+u+nd+a
15341	ToroTegu	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	toŋg+ur+o
15342	YandaDom	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buz+o+kund+o
15343	YornoSo	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	buj+o
#
13721	BankanTey	(e.g. fallen tree) impede, block the passage of (sb)	pal+a+kaŋ
13722	BenTey	(e.g. fallen tree) impede, block the passage of (sb)	pal+ɛ
13723	BenTey	(e.g. fallen tree) impede, block the passage of (sb)	fal+ɛ
13724	DonnoSo	(e.g. fallen tree) impede, block the passage of (sb)	paŋɛ+ɛ
13725	JamsayDouentza	(e.g. fallen tree) impede, block the passage of (sb)	pal+a
13726	Mombo	(e.g. fallen tree) impede, block the passage of (sb)	par+i+kan+i
13727	BonduSoNajamba	(e.g. fallen tree) impede, block the passage of (sb)	pal+ɛ
13728	BonduSoNajamba	(e.g. fallen tree) impede, block the passage of (sb)	fal+ɛ
13729	BonduSoNajamba	(e.g. fallen tree) impede, block the passage of (sb)	tind+i
13730	Nanga	(e.g. fallen tree) impede, block the passage of (sb)	kal+e
13731	Nanga	(e.g. fallen tree) impede, block the passage of (sb)	pal+ɛ
13732	PergeTegu	(e.g. fallen tree) impede, block the passage of (sb)	pal+ɛ
13733	TogoKan	(e.g. fallen tree) impede, block the passage of (sb)	duŋ+o
13734	TommoSoTongoTongo	(e.g. fallen tree) impede, block the passage of (sb)	tind+iy+e
13735	ToroTegu	(e.g. fallen tree) impede, block the passage of (sb)	karⁿ+a
13736	YandaDom	(e.g. fallen tree) impede, block the passage of (sb)	ib+e
13737	YornoSo	(e.g. fallen tree) impede, block the passage of (sb)	ti+iⁿ
#
9332	BankanTey	(e.g. host) act as guide for (a visitor)	dab+i
9333	BenTey	(e.g. host) act as guide for (a visitor)	dim+di
9334	DogulDomBendiely	(e.g. host) act as guide for (a visitor)	pɔl+ɛ
9335	JamsayDouentza	(e.g. host) act as guide for (a visitor)	dim+ne
9336	JamsayDouentza	(e.g. host) act as guide for (a visitor)	dim+nɛ
9337	BonduSoNajamba	(e.g. host) act as guide for (a visitor)	tɛr+i+yɛ
9338	Nanga	(e.g. host) act as guide for (a visitor)	ter+i+ye
9339	PergeTegu	(e.g. host) act as guide for (a visitor)	dim+dɛ
9340	TommoSoTongoTongo	(e.g. host) act as guide for (a visitor)	teer+i+ye
9341	ToroTegu	(e.g. host) act as guide for (a visitor)	bar+a
9342	YornoSo	(e.g. host) act as guide for (a visitor)	dim+ɛ+rɛ
#
16841	BankanTey	(e.g. metallic surface) shine, be shiny	tal+i
16842	BenTey	(e.g. metallic surface) shine, be shiny	cɛrⁿiyⁿ+i
16843	BenTey	(e.g. metallic surface) shine, be shiny	kɛrⁿiyⁿ+i
16844	DonnoSo	(e.g. metallic surface) shine, be shiny	del+e
16845	JamsayGourou	(e.g. metallic surface) shine, be shiny	door+o
16846	JamsayDouentza	(e.g. metallic surface) shine, be shiny	aarⁿ+a
16847	JamsayDouentza	(e.g. metallic surface) shine, be shiny	door+o
16848	JamsayDouentza	(e.g. metallic surface) shine, be shiny	kaŋ+a+rⁿ+a
16849	Mombo	(e.g. metallic surface) shine, be shiny	tay+e+re
16850	BonduSoNajamba	(e.g. metallic surface) shine, be shiny	jaar+i+yɛ
16851	Nanga	(e.g. metallic surface) shine, be shiny	ɛsɛ
16852	PergeTegu	(e.g. metallic surface) shine, be shiny	karⁿiyⁿ+ɛ
16853	TogoKan	(e.g. metallic surface) shine, be shiny	door+i
16854	TommoSoTongoTongo	(e.g. metallic surface) shine, be shiny	jaind+ɛ
16855	ToroTegu	(e.g. metallic surface) shine, be shiny	tel+o
16856	YandaDom	(e.g. metallic surface) shine, be shiny	zay+nd+ɛ
16857	YornoSo	(e.g. metallic surface) shine, be shiny	door+o
#
15302	BankanTey	(e.g. stick) be dropped (by sb)	yaas+i+ye
15303	BenTey	(e.g. stick) be dropped (by sb)	yaɣ+a
15304	JamsayDouentza	(e.g. stick) be dropped (by sb)	baɣ+a
15305	Mombo	(e.g. stick) be dropped (by sb)	dɔmb+ul+ɛ
15306	BonduSoNajamba	(e.g. stick) be dropped (by sb)	por+dɛŋ+ɛ
15307	Nanga	(e.g. stick) be dropped (by sb)	yɛg+ɛ
15308	PergeTegu	(e.g. stick) be dropped (by sb)	bag+a
15309	TommoSoTongoTongo	(e.g. stick) be dropped (by sb)	ɛll+i+yɛ
15310	ToroTegu	(e.g. stick) be dropped (by sb)	luw+o
15311	YornoSo	(e.g. stick) be dropped (by sb)	bag+a
#
9539	BankanTey	(imam) preach, give a sermon	waaj+o+kaŋ
9540	BenTey	(imam) preach, give a sermon	waaj+ɛ+waaj+ɛ
9541	Bunoge	(imam) preach, give a sermon	waaj+u+kan+i
9542	DogulDomBendiely	(imam) preach, give a sermon	waj+e+kan+ɛ
9543	DogulDomKundialang	(imam) preach, give a sermon	waaj+kan+e
9544	DonnoSo	(imam) preach, give a sermon	waaj+u+kan+a
9545	JamsayGourou	(imam) preach, give a sermon	tirⁿiwⁿ+ɛ
9546	JamsayDouentza	(imam) preach, give a sermon	waaj+u+waaj+ɛ
9547	BonduSoNajamba	(imam) preach, give a sermon	waaj+u+waaj+ɛ
9548	Nanga	(imam) preach, give a sermon	waaj+ɛ+waaj+i
9549	Penange	(imam) preach, give a sermon	waaj+i+kan
9550	PergeTegu	(imam) preach, give a sermon	waaj+ɛ+waaj+ɛ
9551	TebulUre	(imam) preach, give a sermon	waaj+ɛ+waaj+ɛ
9552	Tiranige	(imam) preach, give a sermon	waaj+i+kan+u
9553	TogoKan	(imam) preach, give a sermon	waaj+u+waaj+u
9554	TommoSoTongoTongo	(imam) preach, give a sermon	waaj+u+kan+a
9555	ToroTegu	(imam) preach, give a sermon	karⁿ+a
9556	YornoSo	(imam) preach, give a sermon	waaj+u+kun+ɔ
9557	YornoSo	(imam) preach, give a sermon	waaj+u+tag+a
#
7503	BenTey	(legs) be spread, be separated	gɔmb+iiiy+i
7504	DonnoSo	(legs) be spread, be separated	gɔɔmb+ɔ
7505	DonnoSo	(legs) be spread, be separated	gɔmb+ɛ+ɛ
7506	Mombo	(legs) be spread, be separated	gɔmb+ɛ
