ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
17123	Ampari	(1Pl subject pronominal)	n	n	1	n
17125	Bunoge	(1Pl subject pronominal)	ŋ	ŋ	1	ŋ
17126	DogulDomBendiely	(1Pl subject pronominal)	o	o	4	o
17127	DonnoSo	(1Pl subject pronominal)	ŋ	ŋ	1	ŋ
17128	DonnoSo	(1Pl subject pronominal)	ŋ	ŋ	1	ŋ
17129	JamsayDouentza	(1Pl subject pronominal)	y	y	2	y
17130	Mombo	(1Pl subject pronominal)	n	n	1	n
17131	BonduSoNajamba	(1Pl subject pronominal)	y	y	2	y
17132	Nanga	(1Pl subject pronominal)	y	y	2	y
17133	Penange	(1Pl subject pronominal)	ŋ	ŋ	1	ŋ
17134	PergeTegu	(1Pl subject pronominal)	y	y	2	y
17135	TebulUre	(1Pl subject pronominal)	yⁿ	yⁿ	2	yⁿ
17136	Tiranige	(1Pl subject pronominal)	ni	n i	12	n i - -
17137	Tiranige	(1Pl subject pronominal)	ni#v	n i # v	12	n i # v
17138	TogoKan	(1Pl subject pronominal)	ɛmɛ	ɛ m ɛ	13	ɛ m ɛ
17139	TommoSoTongoTongo	(1Pl subject pronominal)	u	u	2	u
17140	TomoKanDiangassagou	(1Pl subject pronominal)	a	a	15	a
17141	ToroTegu	(1Pl subject pronominal)	i	i	16	i
17142	YandaDom	(1Pl subject pronominal)	y	y	2	y
17096	Ampari	(1Sg independent pronoun)	mi	m i	20	m i - -
17097	BenTey	(1Sg independent pronoun)	i	i	18	i
17098	Bunoge	(1Sg independent pronoun)	mi	m i	20	m i - -
17099	DogulDomBendiely	(1Sg independent pronoun)	mi	m i	20	m i - -
17100	DogulDomKundialang	(1Sg independent pronoun)	mi	m i	20	m i - -
17101	DonnoSo	(1Sg independent pronoun)	mi	m i	20	m i - -
17102	JamsayDouentza	(1Sg independent pronoun)	mi	m i	20	m i - -
17103	BonduSoNajamba	(1Sg independent pronoun)	mi	m i	20	m i - -
17104	Nanga	(1Sg independent pronoun)	iiⁿ	iiⁿ	18	iiⁿ
17105	Penange	(1Sg independent pronoun)	mi	m i	20	m i - -
17106	PergeTegu	(1Sg independent pronoun)	mi	m i	20	m i - -
17107	TebulUre	(1Sg independent pronoun)	mi	m i	20	m i - -
17108	Tiranige	(1Sg independent pronoun)	mi+wⁿ	m i + wⁿ	20	m i + wⁿ
17109	Tiranige	(1Sg independent pronoun)	mi	m i	20	m i - -
17110	TogoKan	(1Sg independent pronoun)	iⁿ	iⁿ	18	iⁿ
17111	TommoSoTongoTongo	(1Sg independent pronoun)	mi	m i	20	m i - -
17112	TomoKanSegue	(1Sg independent pronoun)	mi	m i	20	m i - -
17113	ToroTegu	(1Sg independent pronoun)	mi	m i	20	m i - -
17114	ToroTegu	(1Sg independent pronoun)	mᵇi	mᵇ i	20	mᵇ i - -
17115	YandaDom	(1Sg independent pronoun)	mi	m i	20	m i - -
17116	YornoSo	(1Sg independent pronoun)	mu	m u	20	m u - -
17117	JamsayDouentza	(3Pl human pronoun)	be	b e	21	b e
17118	PergeTegu	(3Pl human pronoun)	be	b e	21	b e
17119	TogoKan	(3Pl human pronoun)	be	b e	21	b e
17120	TomoKanSegue	(3Pl human pronoun)	bo	b o	21	b o
