# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
#
17123	Ampari	(1Pl subject pronominal)	n	n	4	A	N	1	1.N.C	2.0	0	7
17125	Bunoge	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	5	5.N.C	2.0	0	7
17126	DogulDomBendiely	(1Pl subject pronominal)	o	o	7	X	U	6	6.U.V	1.5	0	4
17127	DonnoSo	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	8	8.N.C	2.0	0	7
17128	DonnoSo	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	8	8.N.C	2.0	1	7
17129	JamsayDouentza	(1Pl subject pronominal)	y	y	7	X	Y	9	9.Y.V	1.5	0	2
17130	Mombo	(1Pl subject pronominal)	n	n	4	A	N	12	12.N.C	2.0	0	7
17131	BonduSoNajamba	(1Pl subject pronominal)	y	y	7	X	Y	4	4.Y.V	1.5	0	2
17132	Nanga	(1Pl subject pronominal)	y	y	7	X	Y	13	13.Y.V	1.5	0	2
17133	Penange	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	14	14.N.C	2.0	0	7
17134	PergeTegu	(1Pl subject pronominal)	y	y	7	X	Y	15	15.Y.V	1.5	0	2
17135	TebulUre	(1Pl subject pronominal)	yⁿ	yⁿ	7	X	Y	16	16.Y.V	1.5	0	2
17136	Tiranige	(1Pl subject pronominal)	ni	n i	4 7	AX	NI	17	17.N.C 17.I.V	2.0 1.5	0	12
17137	Tiranige	(1Pl subject pronominal)	ni#v	n i # v	4 7 9 3	AX_A	NI_B	17	17.N.C 17.I.V 17._._ 17.B.C	2.0 1.5 0.0 2.0	0	12
17138	TogoKan	(1Pl subject pronominal)	ɛmɛ	ɛ m ɛ	7 4 7	XBZ	EME	18	18.E.V 18.M.C 18.E.V	1.5 1.75 0.8	0	13
17139	TommoSoTongoTongo	(1Pl subject pronominal)	u	u	7	X	Y	19	19.Y.V	1.5	0	2
17140	TomoKanDiangassagou	(1Pl subject pronominal)	a	a	7	X	A	20	20.A.V	1.5	0	15
17141	ToroTegu	(1Pl subject pronominal)	i	i	7	X	I	22	22.I.V	1.5	0	16
17142	YandaDom	(1Pl subject pronominal)	y	y	7	X	Y	23	23.Y.V	1.5	0	2
#
17096	Ampari	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	1	1.M.C 1.I.V	2.0 1.5	0	17
17097	BenTey	(1Sg independent pronoun)	i	i	7	X	I	3	3.I.V	1.5	0	18
17098	Bunoge	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	5	5.M.C 5.I.V	2.0 1.5	0	17
17099	DogulDomBendiely	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	6	6.M.C 6.I.V	2.0 1.5	0	17
17100	DogulDomKundialang	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	7	7.M.C 7.I.V	2.0 1.5	0	17
17101	DonnoSo	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	8	8.M.C 8.I.V	2.0 1.5	0	17
17102	JamsayDouentza	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	0	17
17103	BonduSoNajamba	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	4	4.M.C 4.I.V	2.0 1.5	0	17
17104	Nanga	(1Sg independent pronoun)	iiⁿ	iiⁿ	7	X	I	13	13.I.V	1.5	0	18
17105	Penange	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	14	14.M.C 14.I.V	2.0 1.5	0	17
17106	PergeTegu	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	15	15.M.C 15.I.V	2.0 1.5	0	17
17107	TebulUre	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	16	16.M.C 16.I.V	2.0 1.5	0	17
17108	Tiranige	(1Sg independent pronoun)	mi+wⁿ	m i + wⁿ	4 7 9 6	AX_A	MI_W	17	17.M.C 17.I.V 17._._ 17.W.C	2.0 1.5 0.0 2.0	0	17
17109	Tiranige	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	17	17.M.C 17.I.V	2.0 1.5	0	17
17110	TogoKan	(1Sg independent pronoun)	iⁿ	iⁿ	7	X	I	18	18.I.V	1.5	0	18
17111	TommoSoTongoTongo	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	19	19.M.C 19.I.V	2.0 1.5	0	17
17112	TomoKanSegue	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	21	21.M.C 21.I.V	2.0 1.5	0	17
