DOCULECT	GLOSS	IPA
BankanTey	domestic animal (esp. livestock)	dʒáw+dì+m
BankanTey	domestic animal (esp. livestock)	dá.ábà+m
BenTey	domestic animal (esp. livestock)	àrsɛ̀.ɛ́+m
Bunoge	domestic animal (esp. livestock)	kɔ́+m.bɔ̀
DogulDomBendiely	domestic animal (esp. livestock)	bɛ́lɛ̀+ɡ
DogulDomBendiely	domestic animal (esp. livestock)	bɛ́lɛ̀+ɡù
DonnoSo	domestic animal (esp. livestock)	bɛ̀lú
DonnoSo	domestic animal (esp. livestock)	bɛ̀lú
JamsayGourou	domestic animal (esp. livestock)	ɡàr+sɛ̀+ɡɛ́
JamsayDouentza	domestic animal (esp. livestock)	àsɛ̀+ɡɛ́
JamsayDouentza	domestic animal (esp. livestock)	ɡàsɛ̀+ɡɛ́
JamsayMondoro	domestic animal (esp. livestock)	àsɛ̀+ɡɛ
Mombo	domestic animal (esp. livestock)	dèbù+bɛ́lí
Mombo	domestic animal (esp. livestock)	bɛ́lí
BonduSoNajamba	domestic animal (esp. livestock)	dúmɛ́+ŋ.ɡó
BonduSoKindige	domestic animal (esp. livestock)	dùmɔ́.ɔ́+n
Nanga	domestic animal (esp. livestock)	ɡàsɛ̀+ɡɛ́
Penange	domestic animal (esp. livestock)	dá.ábá
PergeTegu	domestic animal (esp. livestock)	àsɛ̀+ɡɛ́
TebulUre	domestic animal (esp. livestock)	àsɛ̀+ɡɛ́
TebulUre	domestic animal (esp. livestock)	ɡàsɛ̀+ɡɛ́
TiranigeBoui	domestic animal (esp. livestock)	bèl
TiranigeNingo	domestic animal (esp. livestock)	bɛ̀lì
TogoKan	domestic animal (esp. livestock)	ɡìr.∼íá+rúsɛ̀+ɡɛ̀
TommoSoTongoTongo	domestic animal (esp. livestock)	ɡìnɛ̀j+bɛ̀lù
TommoSoTongoTongo	domestic animal (esp. livestock)	bɛ̀lú
TomoKanDiangassagou	domestic animal (esp. livestock)	dá.ábá.á
ToroTegu	domestic animal (esp. livestock)	àrùzà+ká
ToroTegu	domestic animal (esp. livestock)	àrzà+ɡá
YandaDom	domestic animal (esp. livestock)	àzɛ̀+ɡɛ̀
YandaDom	domestic animal (esp. livestock)	àsɛ̀+ɡɛ̀
YornoSo	domestic animal (esp. livestock)	àrùsɛ̀+ɡɛ́
BankanTey	camel	ɔ̀.ɔ̀ɲɛ̂.∼+m
BenTey	camel	ɔ̀.ɔ̀ɲùw.∼ɔ̂+m
Bunoge	camel	ɲɔ́ŋɔ́+mɛ̀
DogulDomBendiely	camel	jɔ́ŋù+mɛ̀
DogulDomKundialang	camel	jɔ́ŋ+mɛ̀
DonnoSo	camel	ɔ̀ŋɔ̀jò+ŋó
JamsayGourou	camel	ɔ̀ɣɔ̀j.∼ù+w.∼ó
JamsayDouentza	camel	ɔ̀ɣɔ̀ɲù+ŋó
Mombo	camel	ɲɔ̀ŋɔ̀+mɛ́
BonduSoNajamba	camel	ɲɔ̀ŋɔ̀+mɛ́
BonduSoKindige	camel	ŋɔ̀ŋɔ́+l
Nanga	camel	ɔ̀ɡɔ̀ɲɔ̀+ŋɔ̂
Penange	camel	ɲɔ́.ɔ́mɔ̀+j~
PergeTegu	camel	ɔ̀ɡɔ̀ɲù+w.∼ó
TebulUre	camel	ɔ̀ɡɔ̀ɲɔ̀+ŋɔ́
Tiranige	camel	n.dʒè+lèbà
TogoKan	camel	ɔ̀ɡɔ̀ɲɔ̌
TommoSoTongoTongo	camel	ɲòŋó+m
TomoKanDiangassagou	camel	ɲɔ̀ŋɛ̀+mɛ́
TomoKanSegue	camel	ɲɔ̀ʔɔ̀+mɛ́
ToroTegu	camel	ɲɔ́
YandaDom	camel	ɔ̀ɡɔ̀ɲɔ̀+ŋɔ̀
YornoSo	camel	ɔ̀ɡɔ̀jɔ̀.ɔ́~
BankanTey	cat	nùmǎ+m
BenTey	cat	nìnì+w.∼ɛ̌+m
Bunoge	cat	ɲá.álì
DogulDomBendiely	cat	ɡáàŋ
DogulDomKundialang	cat	ɡá.àŋ
DonnoSo	cat	ɡám+mà
JamsayGourou	cat	nìnì+w.∼é
JamsayDouentza	cat	nìnì+w.∼é
Mombo	cat	ɡà.àw.∼ě
BonduSoNajamba	cat	ɡáŋà
BonduSoBonduSoKindige	cat	ɡáŋà
Nanga	cat	dò+n.dí+jê
Penange	cat	ɡà.à~
PergeTegu	cat	nìnì+w.∼é
TebulUre	cat	bàl+má
Tiranige	cat	ɡà.ànà
TogoKan	cat	dònó
TommoSoTongoTongo	cat	ɡám+má
TomoKanDiangassagou	cat	dò+n.dò
TomoKanSegue	cat	dó+n.dó
ToroTegu	cat	nìw.∼á
YandaDom	cat	ɡà.à~
YornoSo	cat	ɡá+mà
BankanTey	calf	nà.àjî+m
BenTey	calf	nà.àjǐ+m
Bunoge	calf	ná.ábè
DogulDomBendiely	calf	nààɡùé+ɡù
DonnoSo	calf	nàŋàí.ì
JamsayDouentza	calf	nàŋí.ì~
Mombo	calf	nà.àwé.é
BonduSoNajamba	calf	nà.à+m.bí.ì
Nanga	calf	nàŋà+jí.ì
Penange	calf	nà.àwé.è
PergeTegu	calf	nàŋí.ì~
TebulUre	calf	nà.àɛ̀dɛ́
TogoKan	calf	nàŋí.í~
