# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
#
17132	BenTey	(1Pl subject pronominal)	j	j	6	A	J	2	2.J.C	2.0	0	1
17133	Bunoge	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	4	4.N.C	2.0	0	3
17134	DogulDomBendiely	(1Pl subject pronominal)	ó	ó	7	X	U	5	5.U.V	1.5	0	4
17135	DonnoSo	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	7	7.N.C	2.0	0	3
17136	DonnoSo	(1Pl subject pronominal)	j.ŋ	j ŋ	6 4	AN	JN	7	7.J.C 7.N.c	2.0 0.8	0	1
17137	JamsayDouentza	(1Pl subject pronominal)	j	j	6	A	J	8	8.J.C	2.0	0	1
17138	BonduSoNajamba	(1Pl subject pronominal)	j	j	6	A	J	3	3.J.C	2.0	0	1
17139	Nanga	(1Pl subject pronominal)	j	j	6	A	J	11	11.J.C	2.0	0	1
17140	Penange	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	12	12.N.C	2.0	0	3
17141	PergeTegu	(1Pl subject pronominal)	j	j	6	A	J	13	13.J.C	2.0	0	1
17142	TebulUre	(1Pl subject pronominal)	j.∼	j ∼	6 4	AN	J9	14	14.J.C 14.9.c	2.0 0.8	0	1
17143	Tiranige	(1Pl subject pronominal)	ní	n í	4 7	AX	NI	15	15.N.C 15.I.V	2.0 1.5	0	11
17144	Tiranige	(1Pl subject pronominal)	nì#v	n ì # v	4 7 9 3	AX_A	NI_B	15	15.N.C 15.I.V 15._._ 15.B.C	2.0 1.5 0.0 2.0	0	11
17145	TogoKan	(1Pl subject pronominal)	ɛ́mɛ́	ɛ́ m ɛ́	7 4 7	XBZ	EME	16	16.E.V 16.M.C 16.E.V	1.5 1.75 0.8	0	12
17146	TommoSoTongoTongo	(1Pl subject pronominal)	ú	ú	7	X	Y	17	17.Y.V	1.5	0	13
17148	ToroTegu	(1Pl subject pronominal)	í	í	7	X	I	18	18.I.V	1.5	0	14
17149	YandaDom	(1Pl subject pronominal)	j	j	6	A	J	19	19.J.C	2.0	0	1
#
17105	BenTey	(1Sg independent pronoun)	í	í	7	X	I	2	2.I.V	1.5	0	15
17106	Bunoge	(1Sg independent pronoun)	mì	m ì	4 7	AX	MI	4	4.M.C 4.I.V	2.0 1.5	0	16
17107	DogulDomBendiely	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	5	5.M.C 5.I.V	2.0 1.5	0	16
17108	DogulDomKundialang	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	6	6.M.C 6.I.V	2.0 1.5	0	16
17109	DonnoSo	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	7	7.M.C 7.I.V	2.0 1.5	0	16
17110	JamsayDouentza	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	8	8.M.C 8.I.V	2.0 1.5	0	16
17111	BonduSoNajamba	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	3	3.M.C 3.I.V	2.0 1.5	0	16
17112	Nanga	(1Sg independent pronoun)	ì.í~	ì í ~	7 7 0	XYN	II0	11	11.I.V 11.I.V 11.0.c	1.5 1.3 0.8	0	22
17113	Penange	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	12	12.M.C 12.I.V	2.0 1.5	0	16
17114	PergeTegu	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	13	13.M.C 13.I.V	2.0 1.5	0	16
17115	TebulUre	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	14	14.M.C 14.I.V	2.0 1.5	0	16
17116	Tiranige	(1Sg independent pronoun)	mí+w.∼	m í + w ∼	4 7 9 6 4	AX_AN	MI_W9	15	15.M.C 15.I.V 15._._ 15.W.C 15.9.c	2.0 1.5 0.0 2.0 0.8	0	26
17117	Tiranige	(1Sg independent pronoun)	mì	m ì	4 7	AX	MI	15	15.M.C 15.I.V	2.0 1.5	0	16
17118	TogoKan	(1Sg independent pronoun)	í~	í ~	7 0	XN	I0	16	16.I.V 16.0.c	1.5 0.8	0	22
17119	TommoSoTongoTongo	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	17	17.M.C 17.I.V	2.0 1.5	0	16
17121	ToroTegu	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	18	18.M.C 18.I.V	2.0 1.5	0	16
17122	ToroTegu	(1Sg independent pronoun)	m.bí	m b í	4 1 7	ACZ	MPI	18	18.M.C 18.P.C 18.I.V	2.0 1.5 0.8	0	33
17123	YandaDom	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	19	19.M.C 19.I.V	2.0 1.5	0	16
17124	YornoSo	(1Sg independent pronoun)	mú	m ú	4 7	AX	MY	20	20.M.C 20.Y.V	2.0 1.5	0	16
#
17125	JamsayDouentza	(3Pl human pronoun)	bé	b é	1 7	AX	PE	8	8.P.C 8.E.V	2.0 1.5	0	34
17126	PergeTegu	(3Pl human pronoun)	bé	b é	1 7	AX	PE	13	13.P.C 13.E.V	2.0 1.5	0	34
17127	TogoKan	(3Pl human pronoun)	bé	b é	1 7	AX	PE	16	16.P.C 16.E.V	2.0 1.5	0	34
17129	ToroTegu	(3Pl human pronoun)	bé	b é	1 7	AX	PE	18	18.P.C 18.E.V	2.0 1.5	0	34
17130	YornoSo	(3Pl human pronoun)	bé	b é	1 7	AX	PE	20	20.P.C 20.E.V	2.0 1.5	0	34
#
17150	DogulDomBendiely	(3Sg all-purpose subject pronominal)	ná	n á	4 7	AX	NA	5	5.N.C 5.A.V	2.0 1.5	0	35
17151	TommoSoTongoTongo	(3Sg all-purpose subject pronominal)	wó	w ó	6 7	AX	WU	17	17.W.C 17.U.V	2.0 1.5	0	36
#
9511	BenTey	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	2	2.S.C 2.A.V 2.L.c 2._._ 2.A.V	2.0 1.5 0.8 0.0 1.5	0	37
9512	DogulDomBendiely	(Muslim) pray (verb only)	sɛ̀n+ɛ́	s ɛ̀ n + ɛ́	3 7 4 9 7	AXN_X	SEN_E	5	5.S.C 5.E.V 5.N.c 5._._ 5.E.V	2.0 1.5 0.8 0.0 1.5	0	38
9513	DogulDomKundialang	(Muslim) pray (verb only)	sɛ́n+ɛ̀	s ɛ́ n + ɛ̀	3 7 4 9 7	AXN_X	SEN_E	6	6.S.C 6.E.V 6.N.c 6._._ 6.E.V	2.0 1.5 0.8 0.0 1.5	1	38
9514	DonnoSo	(Muslim) pray (verb only)	sɛ́n+ɛ̀	s ɛ́ n + ɛ̀	3 7 4 9 7	AXN_X	SEN_E	7	7.S.C 7.E.V 7.N.c 7._._ 7.E.V	2.0 1.5 0.8 0.0 1.5	0	38
9515	JamsayGourou	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	9	9.S.C 9.A.V 9.L.c 9._._ 9.A.V	2.0 1.5 0.8 0.0 1.5	0	37
9516	JamsayDouentza	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	8	8.S.C 8.A.V 8.L.c 8._._ 8.A.V	2.0 1.5 0.8 0.0 1.5	0	37
9517	Mombo	(Muslim) pray (verb only)	sán.d+é	s á n d + é	3 7 4 1 9 7	AXLN_X	SANT_E	10	10.S.C 10.A.V 10.N.c 10.T.c 10._._ 10.E.V	2.0 1.5 1.1 0.8 0.0 1.5	0	38
9518	BonduSoNajamba	(Muslim) pray (verb only)	sán	s á n	3 7 4	AXN	SAN	3	3.S.C 3.A.V 3.N.c	2.0 1.5 0.8	0	38
9519	Nanga	(Muslim) pray (verb only)	sán.d+í	s á n d + í	3 7 4 1 9 7	AXLN_X	SANT_I	11	11.S.C 11.A.V 11.N.c 11.T.c 11._._ 11.I.V	2.0 1.5 1.1 0.8 0.0 1.5	0	38
9520	PergeTegu	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	13	13.S.C 13.A.V 13.L.c 13._._ 13.A.V	2.0 1.5 0.8 0.0 1.5	0	37
9521	TebulUre	(Muslim) pray (verb only)	sár.∼+á	s á r ∼ + á	3 7 5 4 9 7	AXLN_X	SAR9_A	14	14.S.C 14.A.V 14.R.c 14.9.c 14._._ 14.A.V	2.0 1.5 1.1 0.8 0.0 1.5	0	47
9522	TogoKan	(Muslim) pray (verb only)	sár.∼+á	s á r ∼ + á	3 7 5 4 9 7	AXLN_X	SAR9_A	16	16.S.C 16.A.V 16.R.c 16.9.c 16._._ 16.A.V	2.0 1.5 1.1 0.8 0.0 1.5	0	47
9523	TommoSoTongoTongo	(Muslim) pray (verb only)	sɛ́n+ɛ́	s ɛ́ n + ɛ́	3 7 4 9 7	AXN_X	SEN_E	17	17.S.C 17.E.V 17.N.c 17._._ 17.E.V	2.0 1.5 0.8 0.0 1.5	0	38
9524	YandaDom	(Muslim) pray (verb only)	sán	s á n	3 7 4	AXN	SAN	19	19.S.C 19.A.V 19.N.c	2.0 1.5 0.8	0	38
9525	YornoSo	(Muslim) pray (verb only)	sɛ́r.∼+ɛ́	s ɛ́ r ∼ + ɛ́	3 7 5 4 9 7	AXLN_X	SER9_E	20	20.S.C 20.E.V 20.R.c 20.9.c 20._._ 20.E.V	2.0 1.5 1.1 0.8 0.0 1.5	0	47
#
