Grapheme	IPA
^nì_V$	n ì
_→$	NULL
^_..._	NULL
ʤ	d.ʒ
j́	d.ʒ
J	d.ʒ
j	d.ʒ
j̀	d.ʒ 
nj́	n.d.ʒ
nj	n.d.ʒ
^nj	n.d.ʒ
yⁿ	J.n
é:	é.é
ê:	é.è
í:	í.í
ǎ:	à.á
è:	è.è
ê:	é.è
ǐ:	ì.í
ě:	è.é
ì:	ì.ì
ó:	ó.ó
ò:	ò.ò
ù:	ù.ù
ú:	ú.ú
ǒ:	ò.ó
ǔ:	ù.ú
û:	ú.ù
ɛ́:	ɛ́.ɛ́
û:	ú.ù
í̀:	í.ì
ɛ́:	ɛ́.ɛ́
ô:	ó.ò
ǽ:	ǽ.ǽ
ɛ-̀:	ɛ̀.ɛ̀
ɛ̀ɛ́:	ɛ̀ɛ́
á	á
à	à
ì	ì
á:	á.á
ù	ù
ú	ú
è	è
í	í
ó	ó
ý	j
ò	ò
yⁿ	j.n
ǎ	ǎ
â:	á.à
é	é
à:	à.à
ě	ě
ê	ê
ⁿ	n
î	î
ǐ	ǐ
î:	í.ì
ǹ	n
š	š
û	û
â	â
ǒ	ǒ
ɔ́:	ɔ́.ɔ́
ô	ô
ǔ	ǔ
ỳ	j
ý	j
ⁿ	.n
ń	n
ǔ	ǔ
Ǹ	n
ʸŋ	j.ŋ
ḿ	ḿ
(	NULL
[	NULL
]	NULL
)	NULL
ŋ-́	ŋ
ẁ	ẁ
ḱ	ḱ
ɔ-́:	ɔ́.ɔ́
ɔ-̌:	ɔ̀.ɔ́
p̌	p
ɛ-̌:	ɛ̀.ɛ́
ǽ	ǽ
ɛ-́:	ɛ́.ɛ́
ɛ-̂:	ɛ́.ɛ̀
ẃ	ẃ
á"	á
à"	à
ɛ́ɛ-́ⁿ	ɛ́ɛ́.n
ɔ́ɔ-́ⁿ	ɔ́ɔ́.n
,	NULL
\	NULL
ᵇ	ᵇ
́ɛ́	ɛ́
ɛ-᷈:	ɛ̀ɛ̀
ɔ-́ⁿ	ɔ́.n
a	a
a:	a.a
à	à
à:	à.à
à:ⁿ	à.à.n
àà	à.à
ààⁿ	à.à.n
àá	à.á
àáⁿ	à.á.n
à̀:	à.à
àⁿ	à.n
á	á
á:	á.á
á:ⁿ	á.n
áà	á.à
áàⁿ	á.à.n
áá	á.á.n
ááⁿ	á.á.n
áⁿ	á.n
â	â
â:	á.à
â:ⁿ	á.à.n
âⁿ	â.n
âⁿ:	á.à.n
ǎ	ǎ
ǎ:	à.á
ǎ:ⁿ	à.á.n
ǎⁿ	ǎ.n
a᷈	ǎ
a᷈:	à.à
a᷈:ⁿ	à.à.n
aⁿ	a.n
ǽ	ǽ
æ̀	æ̀
æ̂	æ̂
ǽⁿ	ǽ.n
ǽ:ⁿ	ǽ.ǽ.n
æ̀:ⁿ	æ̀.æ̀.n
æ̂:ⁿ	ǽ.æ̀.n
b	b
ɓ	ɓ
bʷ	b.w
ɔ	ɔ
ɔ̯	ɔ
ɕ	ɕ
ɔ:	ɔ.ɔ
ɔ:́	ɔ́.ɔ́
ɔ.ɔ.n	ɔ.ɔ.n
ɔ̀	ɔ̀
ɔ̀:	ɔ̀.ɔ̀
ɔ̀:̀	ɔ̀.ɔ̀
