Grapheme	IPA	FREQUENCY	CODEPOINTS
n	n	3745	U+006e
-	+	3577	U+002d
g	g	3485	U+0067
á	á	3115	U+00e1
m	m	2912	U+006d
à	à	2876	U+00e0
d	d	2778	U+0064
r	r	2684	U+0072
ú	ú	2555	U+00fa
k	k	2456	U+006b
ɛ́	ɛ́	2378	U+025b U+0301
l	l	2334	U+006c
b	b	2237	U+0062
ù	ù	2164	U+00f9
í	í	2111	U+00ed
y	y	1936	U+0079
_	_	1855	U+005f
t	t	1812	U+0074
ì	ì	1808	U+00ec
ɔ́	ɔ́	1724	U+0254 U+0301
s	s	1698	U+0073
ɛ̀	ɛ̀	1665	U+025b U+0300
ó	ó	1650	U+00f3
ɔ̀	ɔ̀	1509	U+0254 U+0300
é	é	1433	U+00e9
j	j	1393	U+006a
è	è	1301	U+00e8
ŋ	ŋ	1160	U+014b
ò	ò	1044	U+00f2
p	p	1010	U+0070
w	w	855	U+0077
rⁿ	rⁿ	684	U+0072 U+207f
á:	á:	492	U+00e1 U+003a
à:	à:	379	U+00e0 U+003a
ɲ	ɲ	355	U+0272
yⁿ	yⁿ	287	U+0079 U+207f
ɛ́:	ɛ́:	268	U+025b U+0301 U+003a
z	z	252	U+007a
c	c	217	U+0063
ǎ:	ǎ:	208	U+01ce U+003a
í:	í:	205	U+00ed U+003a
ǎ	ǎ	180	U+01ce
nn	nn	150	U+006e U+006e
ɔ́:	ɔ́:	144	U+0254 U+0301 U+003a
wⁿ	wⁿ	142	U+0077 U+207f
î:	î:	140	U+00ee U+003a
ɛ̀:	ɛ̀:	140	U+025b U+0300 U+003a
ó:	ó:	136	U+00f3 U+003a
ʔ	ʔ	132	U+0294
â	â	125	U+00e2
é:	é:	125	U+00e9 U+003a
ɛ̌	ɛ̌	112	U+025b U+030c
ɔ̀:	ɔ̀:	109	U+0254 U+0300 U+003a
ɔ̌:	ɔ̌:	107	U+0254 U+030c U+003a
ɛ̌:	ɛ̌:	104	U+025b U+030c U+003a
ì:	ì:	104	U+00ec U+003a
ɔ̌	ɔ̌	101	U+0254 U+030c
mm	mm	99	U+006d U+006d
ú:	ú:	96	U+00fa U+003a
h	h	90	U+0068
ǹ	n	90	U+01f9
è:	è:	89	U+00e8 U+003a
î	î	88	U+00ee
ll	ll	86	U+006c U+006c
ò:	ò:	84	U+00f2 U+003a
ǒ	ǒ	84	U+01d2
ù:	ù:	80	U+00f9 U+003a
ùw	ùw	79	U+00f9 U+0077
â:	â:	78	U+00e2 U+003a
ɛ̂:	ɛ̂:	76	U+025b U+0302 U+003a
ê:	ê:	72	U+00ea U+003a
ǒ:	ǒ:	70	U+01d2 U+003a
ô:	ô:	70	U+00f4 U+003a
ùs	ùs	68	U+00f9 U+0073
ɣ	ɣ	67	U+0263
ǔ	ǔ	65	U+01d4
