Grapheme	IPA	FREQUENCY	CODEPOINTS
_	+	66571	U+005f
a	a	8246	U+0061
u	u	6251	U+0075
ɛ	ɛ	5264	U+025b
i	i	5202	U+0069
n	n	4928	U+006e
g	g	4322	U+0067
ɔ	ɔ	4063	U+0254
m	m	3597	U+006d
e	e	3584	U+0065
o	o	3539	U+006f
d	d	3479	U+0064
r	r	3282	U+0072
k	k	3087	U+006b
l	l	2871	U+006c
b	b	2794	U+0062
y	y	2614	U+0079
s	s	2460	U+0073
t	t	2169	U+0074
j	j	1769	U+006a
aa	a a	1662	U+0061 U+0061
ŋ	ŋ	1568	U+014b
w	w	1442	U+0077
p	p	1354	U+0070
rⁿ	rⁿ	910	U+0072 U+207f
ɛɛ	ɛ ɛ	755	U+025b U+025b
ii	i i	739	U+0069 U+0069
ɔɔ	ɔ ɔ	556	U+0254 U+0254
oo	o o	507	U+006f U+006f
ɲ	ɲ	444	U+0272
ee	e e	435	U+0065 U+0065
uu	uu	414	U+0075 U+0075
_ⁿ	_ⁿ	394	U+005f U+207f
c	c	322	U+0063
z	z	300	U+007a
wⁿ	wⁿ	283	U+0077 U+207f
yⁿ	yⁿ	263	U+0079 U+207f
nn	n n	209	U+006e U+006e
ʔ	ʔ	183	U+0294
mm	m m	115	U+006d U+006d
h	h	111	U+0068
ll	l l	102	U+006c U+006c
ɣ	ɣ	79	U+0263
ɔⁿ	ɔⁿ	78	U+0254 U+207f
aⁿ	aⁿ	72	U+0061 U+207f
iⁿ	iⁿ	68	U+0069 U+207f
f	f	58	U+0066
uⁿ	uⁿ	52	U+0075 U+207f
ɛⁿ	ɛⁿ	46	U+025b U+207f
ə	ə	27	U+0259
ɲɲ	ɲ ɲ	26	U+0272 U+0272
kk	k k	23	U+006b U+006b
dd	d d	17	U+0064 U+0064
yy	y y	16	U+0079 U+0079
jj	j j	13	U+006a U+006a
eⁿ	eⁿ	12	U+0065 U+207f
qqq	NULL	11	U+0071 U+0071 U+0071
oⁿ	oⁿ	11	U+006f U+207f
gg	g g	10	U+0067 U+0067
ŋŋ	ŋ ŋ	9	U+014b U+014b
iii	i i i	7	U+0069 U+0069 U+0069
rr	r r	5	U+0072 U+0072
ʔⁿ	ʔⁿ	5	U+0294 U+207f
tt	t t	5	U+0074 U+0074
cc	c c	5	U+0063 U+0063
v	v	4	U+0076
ww	w w	4	U+0077 U+0077
aaa	a a a	4	U+0061 U+0061 U+0061
hʷ	hʷ	4	U+0068 U+02b7
ɗ	ɗ	3	U+0257
xxx	NULL	3	U+0078 U+0078 U+0078
ss	s s	3	U+0073 U+0073
pp	p p	3	U+0070 U+0070
mᵇ	mᵇ	2	U+006d U+1d47
bb	b b	2	U+0062 U+0062
ʹŋ	ŋ	1	U+02b9 U+014b
ƒƒ	NULL	1	U+0192 U+0192
uuu	u u u	1	U+0075 U+0075 U+0075
dʷ	dʷ	1	U+0064 U+02b7
yⁿyⁿ	yⁿ yⁿ	1	U+0079 U+207f U+0079 U+207f
ɛɛɛ	ɛ ɛ ɛ	1	U+025b U+025b U+025b
wⁿwⁿ	wⁿ wⁿ	1	U+0077 U+207f U+0077 U+207f
ɔⁿɔⁿ	ɔⁿ ɔⁿ	1	U+0254 U+207f U+0254 U+207f
iiii	i i i i	1	U+0069 U+0069 U+0069 U+0069
eⁿeⁿ	eⁿ eⁿ	1	U+0065 U+207f U+0065 U+207f
sⁿ	sⁿ	1	U+0073 U+207f
_ⁿs	_ⁿs	1	U+005f U+207f U+0073
ʒ	ʒ	1	U+0292
+	+
-	+
ⁿ	ⁿ
