DOCULECT	GLOSS	IPA
BankanTey	domestic animal (esp. livestock)	jáw+dì+m
BankanTey	domestic animal (esp. livestock)	dáábà+m
BenTey	domestic animal (esp. livestock)	àrsɛ̌ɛ̌+m
Bunoge	domestic animal (esp. livestock)	kɔ́+mbɔ̀
DogulDomBendiely	domestic animal (esp. livestock)	bɛ́lɛ̀+g
DogulDomBendiely	domestic animal (esp. livestock)	bɛ́lɛ̀+gù
DonnoSo	domestic animal (esp. livestock)	bɛ̀lú
DonnoSo	domestic animal (esp. livestock)	bɛ̀lú
JamsayGourou	domestic animal (esp. livestock)	gàr+sɛ̀+gɛ́
JamsayDouentza	domestic animal (esp. livestock)	àsɛ̀+gɛ́
JamsayDouentza	domestic animal (esp. livestock)	gàsɛ̀+gɛ́
JamsayMondoro	domestic animal (esp. livestock)	àsɛ̀+gɛ
Mombo	domestic animal (esp. livestock)	dèbù+bɛ́lí
Mombo	domestic animal (esp. livestock)	bɛ́lí
BonduSoNajamba	domestic animal (esp. livestock)	dúmɛ́+ŋgó
BonduSoKindige	domestic animal (esp. livestock)	dùmɔ́ɔ́+n
Nanga	domestic animal (esp. livestock)	gàsɛ̀+gɛ́
Penange	domestic animal (esp. livestock)	dáábá
PergeTegu	domestic animal (esp. livestock)	àsɛ̀+gɛ́
TebulUre	domestic animal (esp. livestock)	àsɛ̀+gɛ́
TebulUre	domestic animal (esp. livestock)	gàsɛ̀+gɛ́
TiranigeBoui	domestic animal (esp. livestock)	bèl
TiranigeNingo	domestic animal (esp. livestock)	bɛ̀lì
TogoKan	domestic animal (esp. livestock)	gìrⁿíá+rúsɛ̀+gɛ̀
TommoSoTongoTongo	domestic animal (esp. livestock)	gìnɛ̀ý+bɛ̀lù
TommoSoTongoTongo	domestic animal (esp. livestock)	bɛ̀lú
TomoKanDiangassagou	domestic animal (esp. livestock)	dáábáá
ToroTegu	domestic animal (esp. livestock)	àrùzà+ká
ToroTegu	domestic animal (esp. livestock)	àrzà+gá
YandaDom	domestic animal (esp. livestock)	àzɛ̀+gɛ̀
YandaDom	domestic animal (esp. livestock)	àsɛ̀+gɛ̀
YornoSo	domestic animal (esp. livestock)	àrùsɛ̀+gɛ́
BankanTey	camel	ɔ̀ɔ̀ɲɛ̂ⁿ+m
BenTey	camel	ɔ̀ɔ̀ɲùwⁿɔ̂+m
Bunoge	camel	ɲɔ́ŋɔ́+mɛ̀
DogulDomBendiely	camel	yɔ́ŋù+mɛ̀
DogulDomKundialang	camel	yɔ́ŋ+mɛ̀
DonnoSo	camel	ɔ̀ŋɔ̀yò+ŋó
JamsayGourou	camel	ɔ̀ɣɔ̀yⁿù+wⁿó
JamsayDouentza	camel	ɔ̀ɣɔ̀ɲù+ŋó
Mombo	camel	ɲɔ̀ŋɔ̀+mɛ́
BonduSoNajamba	camel	ɲ̀ɔ̀ŋɔ̀+mɛ́
BonduSoKindige	camel	ŋɔ̀ŋɔ́+l
Nanga	camel	ɔ̀gɔ̀ɲɔ̀+ŋɔ̂
Penange	camel	ɲɔ́ɔ́mɔ̀+y+ⁿ
PergeTegu	camel	ɔ̀gɔ̀ɲù+wⁿó
TebulUre	camel	ɔ̀gɔ̀ɲɔ̀+ŋɔ́
Tiranige	camel	njè+lèbà
TogoKan	camel	ɔ̀gɔ̀ɲɔ̌
TommoSoTongoTongo	camel	ɲòŋó+m
TomoKanDiangassagou	camel	ɲɔ̀ŋɛ̀+mɛ́
TomoKanSegue	camel	ɲɔ̀ʔɔ̀+mɛ́
ToroTegu	camel	ɲɔ́
YandaDom	camel	ɔ̀gɔ̀ɲɔ̀+ŋɔ̀
YornoSo	camel	ɔ̀gɔ̀yɔ̌ɔ̌+ⁿ
BankanTey	cat	nùmǎ+m
BenTey	cat	nìnì+wⁿɛ̌+m
Bunoge	cat	ɲáálì
DogulDomBendiely	cat	gáàŋ
DogulDomKundialang	cat	gáàŋ
DonnoSo	cat	gám+mà
JamsayGourou	cat	nìnì+wⁿé
JamsayDouentza	cat	nìnì+wⁿé
Mombo	cat	gààwⁿě
BonduSoNajamba	cat	gáŋà
BonduSoBonduSoKindige	cat	gáŋà
Nanga	cat	dò+ndí+yê
Penange	cat	gàà+ⁿ
PergeTegu	cat	nìnì+wⁿé
TebulUre	cat	bàl+má
Tiranige	cat	gàànà
TogoKan	cat	dònó
TommoSoTongoTongo	cat	gám+má
TomoKanDiangassagou	cat	dò+ndò
TomoKanSegue	cat	dó+ndó
ToroTegu	cat	nìwⁿá
YandaDom	cat	gàà+ⁿ
YornoSo	cat	gá+mà
BankanTey	calf	nààyî+m
BenTey	calf	nààyǐ+m
Bunoge	calf	náábè
DogulDomBendiely	calf	nààgùé+gù
DonnoSo	calf	nàŋàíì
JamsayDouentza	calf	nàŋíì+ⁿ
Mombo	calf	nààwéé
BonduSoNajamba	calf	nàà+mbíì
Nanga	calf	nàŋà+yíì
Penange	calf	nààwéè
PergeTegu	calf	nàŋíì+ⁿ
TebulUre	calf	nààɛ̀dɛ́
TogoKan	calf	nàŋíí+ⁿ
TommoSoTongoTongo	calf	nààíí
TommoSoTongoTongo	calf	ɔ̀líínàà
TomoKanDiangassagou	calf	nàŋà+dò+mbè
TomoKanSegue	calf	nàʔⁿà+dò+mbé+ⁿ
ToroTegu	calf	nàŋàì+rⁿíí
YandaDom	calf	nǎy+yè
YornoSo	calf	nààíì
BenTey	cow (female)	nààyǎ+m
JamsayDouentza	cow (female)	nàŋà+náá
Mombo	cow (female)	nááyɔ̀ɔ̀
BonduSoNajamba	cow (female)	nɛ̀ɛ̀yɛ̌ɛ̌
BonduSoKindige	cow (female)	nɛ̀ɛ́
Nanga	cow (female)	nàŋà+yàá
TogoKan	cow (female)	nàŋà+náá
TommoSoTongoTongo	cow (female)	nààyàá
ToroTegu	cow (female)	nàŋà+yá
YandaDom	cow (female)	nààyɛ̀
YornoSo	cow (female)	nààyàá
