# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA
#
17132	Ampari	(1Pl subject pronominal)	n
17133	BenTey	(1Pl subject pronominal)	ỳ
17134	Bunoge	(1Pl subject pronominal)	ŋ́
17135	DogulDomBendiely	(1Pl subject pronominal)	ó
17136	DonnoSo	(1Pl subject pronominal)	ŋ
17137	DonnoSo	(1Pl subject pronominal)	ʸŋ
17138	JamsayDouentza	(1Pl subject pronominal)	y
17139	Mombo	(1Pl subject pronominal)	n
17140	BonduSoNajamba	(1Pl subject pronominal)	y
17141	Nanga	(1Pl subject pronominal)	ỳ
17142	Penange	(1Pl subject pronominal)	ŋ̀
17143	PergeTegu	(1Pl subject pronominal)	y
17144	TebulUre	(1Pl subject pronominal)	yⁿ
17145	Tiranige	(1Pl subject pronominal)	ní
17146	Tiranige	(1Pl subject pronominal)	nì#v
17147	TogoKan	(1Pl subject pronominal)	ɛ́mɛ́
17148	TommoSoTongoTongo	(1Pl subject pronominal)	ú
17149	TomoKanDiangassagou	(1Pl subject pronominal)	à
17150	ToroTegu	(1Pl subject pronominal)	í
17151	YandaDom	(1Pl subject pronominal)	y
#
17105	Ampari	(1Sg independent pronoun)	mi
17106	BenTey	(1Sg independent pronoun)	í
17107	Bunoge	(1Sg independent pronoun)	mì
17108	DogulDomBendiely	(1Sg independent pronoun)	mí
17109	DogulDomKundialang	(1Sg independent pronoun)	mí
17110	DonnoSo	(1Sg independent pronoun)	mí
17111	JamsayDouentza	(1Sg independent pronoun)	mí
17112	BonduSoNajamba	(1Sg independent pronoun)	mí
17113	Nanga	(1Sg independent pronoun)	ìíⁿ
17114	Penange	(1Sg independent pronoun)	mí
17115	PergeTegu	(1Sg independent pronoun)	mí
17116	TebulUre	(1Sg independent pronoun)	mí
17117	Tiranige	(1Sg independent pronoun)	mí+wⁿ
17118	Tiranige	(1Sg independent pronoun)	mì
17119	TogoKan	(1Sg independent pronoun)	íⁿ
17120	TommoSoTongoTongo	(1Sg independent pronoun)	mí
17121	TomoKanSegue	(1Sg independent pronoun)	mí
17122	ToroTegu	(1Sg independent pronoun)	mí
17123	ToroTegu	(1Sg independent pronoun)	m̀ᵇí
17124	YandaDom	(1Sg independent pronoun)	mí
17125	YornoSo	(1Sg independent pronoun)	mú
#
17126	JamsayDouentza	(3Pl human pronoun)	bé
