# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
#
17132	Ampari	(1Pl subject pronominal)	n	n	4	A	N	1	1.N.C	2.0	0	1
17133	BenTey	(1Pl subject pronominal)	ỳ	ỳ	7	X	Y	3	3.Y.V	1.5	0	2
17134	Bunoge	(1Pl subject pronominal)	ŋ́	ŋ́	4	A	N	5	5.N.C	2.0	0	1
17135	DogulDomBendiely	(1Pl subject pronominal)	ó	ó	7	X	U	6	6.U.V	1.5	0	5
17136	DonnoSo	(1Pl subject pronominal)	ŋ	ŋ	4	A	N	8	8.N.C	2.0	0	1
17137	DonnoSo	(1Pl subject pronominal)	ʸŋ	ʸŋ	4	A	N	8	8.N.C	2.0	0	1
17138	JamsayDouentza	(1Pl subject pronominal)	y	y	7	X	Y	9	9.Y.V	1.5	0	2
17139	Mombo	(1Pl subject pronominal)	n	n	4	A	N	12	12.N.C	2.0	0	1
17140	BonduSoNajamba	(1Pl subject pronominal)	y	y	7	X	Y	4	4.Y.V	1.5	0	2
17141	Nanga	(1Pl subject pronominal)	ỳ	ỳ	7	X	Y	13	13.Y.V	1.5	0	2
17142	Penange	(1Pl subject pronominal)	ŋ̀	ŋ̀	4	A	N	14	14.N.C	2.0	0	1
17143	PergeTegu	(1Pl subject pronominal)	y	y	7	X	Y	15	15.Y.V	1.5	0	2
17144	TebulUre	(1Pl subject pronominal)	yⁿ	yⁿ	7	X	Y	16	16.Y.V	1.5	0	2
17145	Tiranige	(1Pl subject pronominal)	ní	n í	4 7	AX	NI	17	17.N.C 17.I.V	2.0 1.5	0	13
17146	Tiranige	(1Pl subject pronominal)	nì#v	n ì # v	4 7 9 3	AX_A	NI_B	17	17.N.C 17.I.V 17._._ 17.B.C	2.0 1.5 0.0 2.0	0	13
17147	TogoKan	(1Pl subject pronominal)	ɛ́mɛ́	ɛ́ m ɛ́	7 4 7	XBZ	EME	18	18.E.V 18.M.C 18.E.V	1.5 1.75 0.8	0	14
17148	TommoSoTongoTongo	(1Pl subject pronominal)	ú	ú	7	X	Y	19	19.Y.V	1.5	0	2
17149	TomoKanDiangassagou	(1Pl subject pronominal)	à	à	7	X	A	20	20.A.V	1.5	0	16
17150	ToroTegu	(1Pl subject pronominal)	í	í	7	X	I	22	22.I.V	1.5	0	17
17151	YandaDom	(1Pl subject pronominal)	y	y	7	X	Y	23	23.Y.V	1.5	0	2
#
17105	Ampari	(1Sg independent pronoun)	mi	m i	4 7	AX	MI	1	1.M.C 1.I.V	2.0 1.5	0	21
17106	BenTey	(1Sg independent pronoun)	í	í	7	X	I	3	3.I.V	1.5	0	19
17107	Bunoge	(1Sg independent pronoun)	mì	m ì	4 7	AX	MI	5	5.M.C 5.I.V	2.0 1.5	0	21
17108	DogulDomBendiely	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	6	6.M.C 6.I.V	2.0 1.5	0	21
17109	DogulDomKundialang	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	7	7.M.C 7.I.V	2.0 1.5	0	21
17110	DonnoSo	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	8	8.M.C 8.I.V	2.0 1.5	0	21
17111	JamsayDouentza	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	0	21
17112	BonduSoNajamba	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	4	4.M.C 4.I.V	2.0 1.5	0	21
17113	Nanga	(1Sg independent pronoun)	ìíⁿ	ì íⁿ	7 7	XZ	II	13	13.I.V 13.I.V	1.5 0.8	0	26
17114	Penange	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	14	14.M.C 14.I.V	2.0 1.5	0	21
17115	PergeTegu	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	15	15.M.C 15.I.V	2.0 1.5	0	21
17116	TebulUre	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	16	16.M.C 16.I.V	2.0 1.5	0	21
17117	Tiranige	(1Sg independent pronoun)	mí+wⁿ	m í + wⁿ	4 7 9 6	AX_A	MI_W	17	17.M.C 17.I.V 17._._ 17.W.C	2.0 1.5 0.0 2.0	0	21
17118	Tiranige	(1Sg independent pronoun)	mì	m ì	4 7	AX	MI	17	17.M.C 17.I.V	2.0 1.5	0	21
17119	TogoKan	(1Sg independent pronoun)	íⁿ	íⁿ	7	X	I	18	18.I.V	1.5	0	19
17120	TommoSoTongoTongo	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	19	19.M.C 19.I.V	2.0 1.5	0	21
17121	TomoKanSegue	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	21	21.M.C 21.I.V	2.0 1.5	0	21
17122	ToroTegu	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	22	22.M.C 22.I.V	2.0 1.5	0	21
17123	ToroTegu	(1Sg independent pronoun)	m̀ᵇí	m̀ᵇ í	4 7	AX	MI	22	22.M.C 22.I.V	2.0 1.5	0	21
17124	YandaDom	(1Sg independent pronoun)	mí	m í	4 7	AX	MI	23	23.M.C 23.I.V	2.0 1.5	0	21
17125	YornoSo	(1Sg independent pronoun)	mú	m ú	4 7	AX	MY	24	24.M.C 24.Y.V	2.0 1.5	0	21
#
17126	JamsayDouentza	(3Pl human pronoun)	bé	b é	1 7	AX	PE	9	9.P.C 9.E.V	2.0 1.5	0	27
17127	PergeTegu	(3Pl human pronoun)	bé	b é	1 7	AX	PE	15	15.P.C 15.E.V	2.0 1.5	0	27
17128	TogoKan	(3Pl human pronoun)	bé	b é	1 7	AX	PE	18	18.P.C 18.E.V	2.0 1.5	0	27
17129	TomoKanSegue	(3Pl human pronoun)	bó	b ó	1 7	AX	PU	21	21.P.C 21.U.V	2.0 1.5	0	27
17130	ToroTegu	(3Pl human pronoun)	bé	b é	1 7	AX	PE	22	22.P.C 22.E.V	2.0 1.5	0	27
17131	YornoSo	(3Pl human pronoun)	bé	b é	1 7	AX	PE	24	24.P.C 24.E.V	2.0 1.5	0	27
#
17152	DogulDomBendiely	(3Sg all-purpose subject pronominal)	ná	n á	4 7	AX	NA	6	6.N.C 6.A.V	2.0 1.5	0	28
17153	TommoSoTongoTongo	(3Sg all-purpose subject pronominal)	wó	w ó	6 7	AX	WU	19	19.W.C 19.U.V	2.0 1.5	0	29
#
9511	BenTey	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	3	3.S.C 3.A.V 3.L.c 3._._ 3.A.V	2.0 1.5 0.8 0.0 1.5	0	30
9512	DogulDomBendiely	(Muslim) pray (verb only)	sɛ̀n+ɛ́	s ɛ̀ n + ɛ́	3 7 4 9 7	AXN_X	SEN_E	6	6.S.C 6.E.V 6.N.c 6._._ 6.E.V	2.0 1.5 0.8 0.0 1.5	0	31
9513	DogulDomKundialang	(Muslim) pray (verb only)	sɛ́n+ɛ̀	s ɛ́ n + ɛ̀	3 7 4 9 7	AXN_X	SEN_E	7	7.S.C 7.E.V 7.N.c 7._._ 7.E.V	2.0 1.5 0.8 0.0 1.5	0	31
9514	DonnoSo	(Muslim) pray (verb only)	sɛ́n+ɛ̀	s ɛ́ n + ɛ̀	3 7 4 9 7	AXN_X	SEN_E	8	8.S.C 8.E.V 8.N.c 8._._ 8.E.V	2.0 1.5 0.8 0.0 1.5	0	31
9515	JamsayGourou	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	10	10.S.C 10.A.V 10.L.c 10._._ 10.A.V	2.0 1.5 0.8 0.0 1.5	0	30
9516	JamsayDouentza	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	9	9.S.C 9.A.V 9.L.c 9._._ 9.A.V	2.0 1.5 0.8 0.0 1.5	0	30
9517	Mombo	(Muslim) pray (verb only)	sánd+é	s á n d + é	3 7 4 1 9 7	AXLN_X	SANT_E	12	12.S.C 12.A.V 12.N.c 12.T.c 12._._ 12.E.V	2.0 1.5 1.1 0.8 0.0 1.5	0	31
9518	BonduSoNajamba	(Muslim) pray (verb only)	sán	s á n	3 7 4	AXN	SAN	4	4.S.C 4.A.V 4.N.c	2.0 1.5 0.8	0	31
9519	Nanga	(Muslim) pray (verb only)	sánd+í	s á n d + í	3 7 4 1 9 7	AXLN_X	SANT_I	13	13.S.C 13.A.V 13.N.c 13.T.c 13._._ 13.I.V	2.0 1.5 1.1 0.8 0.0 1.5	0	31
9520	PergeTegu	(Muslim) pray (verb only)	sál+á	s á l + á	3 7 5 9 7	AXN_X	SAL_A	15	15.S.C 15.A.V 15.L.c 15._._ 15.A.V	2.0 1.5 0.8 0.0 1.5	0	30
