ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
17132	Ampari	(1Pl subject pronominal)	n	n	1	n
17133	BenTey	(1Pl subject pronominal)	ỳ	ỳ	2	ỳ
17134	Bunoge	(1Pl subject pronominal)	ŋ́	ŋ́	1	ŋ́
17135	DogulDomBendiely	(1Pl subject pronominal)	ó	ó	5	ó
17136	DonnoSo	(1Pl subject pronominal)	ŋ	ŋ	1	ŋ
17137	DonnoSo	(1Pl subject pronominal)	ʸŋ	ʸŋ	1	ʸŋ
17138	JamsayDouentza	(1Pl subject pronominal)	y	y	2	y
17139	Mombo	(1Pl subject pronominal)	n	n	1	n
17140	BonduSoNajamba	(1Pl subject pronominal)	y	y	2	y
17141	Nanga	(1Pl subject pronominal)	ỳ	ỳ	2	ỳ
17142	Penange	(1Pl subject pronominal)	ŋ̀	ŋ̀	1	ŋ̀
17143	PergeTegu	(1Pl subject pronominal)	y	y	2	y
17144	TebulUre	(1Pl subject pronominal)	yⁿ	yⁿ	2	yⁿ
17145	Tiranige	(1Pl subject pronominal)	ní	n í	13	n í - -
17146	Tiranige	(1Pl subject pronominal)	nì#v	n ì # v	13	n ì # v
17147	TogoKan	(1Pl subject pronominal)	ɛ́mɛ́	ɛ́ m ɛ́	14	ɛ́ m ɛ́
17148	TommoSoTongoTongo	(1Pl subject pronominal)	ú	ú	2	ú
17149	TomoKanDiangassagou	(1Pl subject pronominal)	à	à	16	à
17150	ToroTegu	(1Pl subject pronominal)	í	í	17	í
17151	YandaDom	(1Pl subject pronominal)	y	y	2	y
17105	Ampari	(1Sg independent pronoun)	mi	m i	21	m i - -
17106	BenTey	(1Sg independent pronoun)	í	í	19	í
17107	Bunoge	(1Sg independent pronoun)	mì	m ì	21	m ì - -
17108	DogulDomBendiely	(1Sg independent pronoun)	mí	m í	21	m í - -
17109	DogulDomKundialang	(1Sg independent pronoun)	mí	m í	21	m í - -
17110	DonnoSo	(1Sg independent pronoun)	mí	m í	21	m í - -
17111	JamsayDouentza	(1Sg independent pronoun)	mí	m í	21	m í - -
17112	BonduSoNajamba	(1Sg independent pronoun)	mí	m í	21	m í - -
17113	Nanga	(1Sg independent pronoun)	ìíⁿ	ì íⁿ	26	ì íⁿ
17114	Penange	(1Sg independent pronoun)	mí	m í	21	m í - -
17115	PergeTegu	(1Sg independent pronoun)	mí	m í	21	m í - -
17116	TebulUre	(1Sg independent pronoun)	mí	m í	21	m í - -
17117	Tiranige	(1Sg independent pronoun)	mí+wⁿ	m í + wⁿ	21	m í + wⁿ
17118	Tiranige	(1Sg independent pronoun)	mì	m ì	21	m ì - -
17119	TogoKan	(1Sg independent pronoun)	íⁿ	íⁿ	19	íⁿ
17120	TommoSoTongoTongo	(1Sg independent pronoun)	mí	m í	21	m í - -
17121	TomoKanSegue	(1Sg independent pronoun)	mí	m í	21	m í - -
17122	ToroTegu	(1Sg independent pronoun)	mí	m í	21	m í - -
17123	ToroTegu	(1Sg independent pronoun)	m̀ᵇí	m̀ᵇ í	21	m̀ᵇ í - -
17124	YandaDom	(1Sg independent pronoun)	mí	m í	21	m í - -
17125	YornoSo	(1Sg independent pronoun)	mú	m ú	21	m ú - -
17126	JamsayDouentza	(3Pl human pronoun)	bé	b é	27	b é
17127	PergeTegu	(3Pl human pronoun)	bé	b é	27	b é
17128	TogoKan	(3Pl human pronoun)	bé	b é	27	b é
17129	TomoKanSegue	(3Pl human pronoun)	bó	b ó	27	b ó
17130	ToroTegu	(3Pl human pronoun)	bé	b é	27	b é
17131	YornoSo	(3Pl human pronoun)	bé	b é	27	b é
17152	DogulDomBendiely	(3Sg all-purpose subject pronominal)	ná	n á	28	n á
17153	TommoSoTongoTongo	(3Sg all-purpose subject pronominal)	wó	w ó	29	w ó
9511	BenTey	(Muslim) pray (verb only)	sál+á	s á l + á	30	s á l + á
9512	DogulDomBendiely	(Muslim) pray (verb only)	sɛ̀n+ɛ́	s ɛ̀ n + ɛ́	31	s ɛ̀ n - + ɛ́
9513	DogulDomKundialang	(Muslim) pray (verb only)	sɛ́n+ɛ̀	s ɛ́ n + ɛ̀	31	s ɛ́ n - + ɛ̀
9514	DonnoSo	(Muslim) pray (verb only)	sɛ́n+ɛ̀	s ɛ́ n + ɛ̀	31	s ɛ́ n - + ɛ̀
9515	JamsayGourou	(Muslim) pray (verb only)	sál+á	s á l + á	30	s á l + á
9516	JamsayDouentza	(Muslim) pray (verb only)	sál+á	s á l + á	30	s á l + á
9517	Mombo	(Muslim) pray (verb only)	sánd+é	s á n d + é	31	s á n d + é
9518	BonduSoNajamba	(Muslim) pray (verb only)	sán	s á n	31	s á n - - -
9519	Nanga	(Muslim) pray (verb only)	sánd+í	s á n d + í	31	s á n d + í
9520	PergeTegu	(Muslim) pray (verb only)	sál+á	s á l + á	30	s á l + á
9521	TebulUre	(Muslim) pray (verb only)	sárⁿ+á	s á rⁿ + á	30	s á rⁿ + á
9522	TogoKan	(Muslim) pray (verb only)	sárⁿ+á	s á rⁿ + á	30	s á rⁿ + á
9523	TommoSoTongoTongo	(Muslim) pray (verb only)	sɛ́n+ɛ́	s ɛ́ n + ɛ́	31	s ɛ́ n - + ɛ́
9524	YandaDom	(Muslim) pray (verb only)	sán	s á n	31	s á n - - -
9525	YornoSo	(Muslim) pray (verb only)	sɛ́rⁿ+ɛ́	s ɛ́ rⁿ + ɛ́	31	s ɛ́ rⁿ - + ɛ́
9490	BankanTey	(Muslim) pray, say or perform one's prayer	jíŋg+ár+úkáŋ	j í ŋ g + á r + ú k á ŋ	32	j í ŋ g + á r + ú k á ŋ
9491	BenTey	(Muslim) pray, say or perform one's prayer	sál+ù+sál+á	s á l + ù + s á l + á	33	s á l + ù + s á l + á
9492	BenTey	(Muslim) pray, say or perform one's prayer	sâl+sál+á	s â l + s á l + á	33	s â l + - - s á l + á
9493	Bunoge	(Muslim) pray, say or perform one's prayer	sɛ̀n+ì+kán+ì	s ɛ̀ n + ì + k á n + ì	35	s ɛ̀ n + ì + k á n + ì
9494	DogulDomBendiely	(Muslim) pray, say or perform one's prayer	sɛ́ɛ̀n+sɛ̀n+ɛ́	s ɛ́ɛ̀ n + s ɛ̀ n + ɛ́	36	s ɛ́ɛ̀ n + - - s ɛ̀ n + ɛ́
9495	DogulDomKundialang	(Muslim) pray, say or perform one's prayer	sɛ́n+ɛ̀	s ɛ́ n + ɛ̀	36	- - - - - - s ɛ́ n + ɛ̀
9496	DonnoSo	(Muslim) pray, say or perform one's prayer	sɛ́n+ù+sɛ́n+ɛ̀	s ɛ́ n + ù + s ɛ́ n + ɛ̀	36	s ɛ́ n + ù + s ɛ́ n + ɛ̀
9497	JamsayGourou	(Muslim) pray, say or perform one's prayer	sál+ù+sál+á	s á l + ù + s á l + á	33	s á l + ù + s á l + á
9498	JamsayDouentza	(Muslim) pray, say or perform one's prayer	sâl+sál+á	s â l + s á l + á	33	s â l + - - s á l + á
9499	Mombo	(Muslim) pray, say or perform one's prayer	sànd+ìs+ánd+é	s à n d + ì s + á n d + é	41	s à n d + ì s + á n d + é
9500	BonduSoNajamba	(Muslim) pray, say or perform one's prayer	sân+sán	s â n + s á n	33	s â n + - - s á n - -
9501	Nanga	(Muslim) pray, say or perform one's prayer	sánd+ìs+ánd+í	s á n d + ì s + á n d + í	41	s á n d + ì s + á n d + í
9502	Penange	(Muslim) pray, say or perform one's prayer	sɛ́nd+ík+án	s ɛ́ n d + í k + á n	41	s ɛ́ n d + í k + á n - - -
9503	PergeTegu	(Muslim) pray, say or perform one's prayer	sâl+sál+á	s â l + s á l + á	33	s â l + - - s á l + á
9504	TebulUre	(Muslim) pray, say or perform one's prayer	sán+sárⁿ+á	s á n + s á rⁿ + á	33	s á n + - - s á rⁿ + á
9505	Tiranige	(Muslim) pray, say or perform one's prayer	sààn+í+kán+ú	s àà n + í + k á n + ú	35	s àà n + í + k á n + ú
9506	TogoKan	(Muslim) pray, say or perform one's prayer	sáⁿsárⁿ+á	s áⁿ s á rⁿ + á	47	s áⁿ s á rⁿ + á
9507	TommoSoTongoTongo	(Muslim) pray, say or perform one's prayer	sɛ́n+ú+sɛ́n+ɛ́	s ɛ́ n + ú + s ɛ́ n + ɛ́	36	s ɛ́ n + ú + s ɛ́ n + ɛ́
9508	ToroTegu	(Muslim) pray, say or perform one's prayer	kárⁿ+á	k á rⁿ + á	49	k á rⁿ + á
9509	YandaDom	(Muslim) pray, say or perform one's prayer	sán+sán	s á n + s á n	33	s á n + - - s á n - -
9510	YornoSo	(Muslim) pray, say or perform one's prayer	sɛ̂n+sɛ́rⁿ+ɛ́	s ɛ̂ n + s ɛ́ rⁿ + ɛ́	36	s ɛ̂ n + - - s ɛ́ rⁿ + ɛ́
10543	BankanTey	(a) bruise (from a blow)	pú+ŋkà	p ú + ŋ k à	50	p ú + ŋ k à - - -
10544	BenTey	(a) bruise (from a blow)	pù+ŋgù+yíì	p ù + ŋ g ù + yí ì	50	p ù + ŋ g ù + yí ì
10545	BenTey	(a) bruise (from a blow)	gò+ŋgò+rò+gù+nú+m	g ò + ŋ g ò + r ò + g ù + n ú + m	64	g ò + ŋ g ò + r ò + g ù + n ú + m
10546	DogulDomKundialang	(a) bruise (from a blow)	qqq	qqq	53	qqq
10547	DonnoSo	(a) bruise (from a blow)	ò+mbò+gòjó+rù	ò + m b ò + g ò j ó + r ù	54	ò + m b ò + g ò j ó + r ù
10548	JamsayDouentza	(a) bruise (from a blow)	pǔŋ	p ǔ ŋ	55	p ǔ ŋ
10549	JamsayMondoro	(a) bruise (from a blow)	pǔŋ	p ǔ ŋ	55	p ǔ ŋ
10550	Mombo	(a) bruise (from a blow)	ámán+jè	á m á n + j è	57	á m á n + j è
10551	BonduSoNajamba	(a) bruise (from a blow)	gúgù+lùlù	g ú g ù + l ù l ù	52	g ú g ù + l ù l ù
10552	Nanga	(a) bruise (from a blow)	gò+ndò+gò+pɛ̀+tɛ́	g ò + n d ò + g ò + p ɛ̀ + t ɛ́	58	g ò + n d ò + g ò + p ɛ̀ + t ɛ́
10553	PergeTegu	(a) bruise (from a blow)	pù+ŋgú	p ù + ŋ g ú	50	p ù + ŋ g ú - - -
10554	TommoSoTongoTongo	(a) bruise (from a blow)	já+ŋgí+yí+lé	j á + ŋ g í + yí + l é	60	j á + ŋ g í + yí + l é
10555	ToroTegu	(a) bruise (from a blow)	kú+ŋkà	k ú + ŋ k à	61	k ú + ŋ k à
10556	YandaDom	(a) bruise (from a blow)	sìn+zùpɔ́+jú	s ì n + z ù p ɔ́ + j ú	62	s ì n + z ù p ɔ́ + j ú
10557	YornoSo	(a) bruise (from a blow)	jàrⁿìý+ⁿ	j à rⁿ ì ý +ⁿ	63	j à rⁿ ì ý +ⁿ
13091	BenTey	(a) guard, watchman	ɔ̀rⁿɔ̀gɔ̀+yⁿú+m	ɔ̀ rⁿ ɔ̀ g ɔ̀ + yⁿú + m	65	ɔ̀ rⁿ ɔ̀ g ɔ̀ + yⁿú + m
13092	DonnoSo	(a) guard, watchman	yàlù+kádù+bìnɛ̀	y à l ù + k á d ù + b ì n ɛ̀	66	y à l ù + k á d ù + b ì n ɛ̀
13093	JamsayDouentza	(a) guard, watchman	dììⁿtí+gén	d ì ìⁿ t í + g é n	67	d ì ìⁿ t í + g é n
13094	Mombo	(a) guard, watchman	nɔ̀d+yànɔ́+dí	n ɔ̀ d + y à n ɔ́ + d í	68	n ɔ̀ d + y à n ɔ́ + d í
13095	Nanga	(a) guard, watchman	gɔ̀yⁿ+gɔ̌y+ⁿ	g ɔ̀yⁿ + g ɔ̌y +ⁿ	69	g ɔ̀yⁿ + g ɔ̌y +ⁿ
13096	Tiranige	(a) guard, watchman	dóó+ŋgé	d óó + ŋ g é	70	d óó + ŋ g é
13097	TogoKan	(a) guard, watchman	ɲàká+júwá	ɲ à k á + j ú w á	71	ɲ à k á + j ú w á
13098	TommoSoTongoTongo	(a) guard, watchman	ndɛ̀dò+mmù+dɔ́m+mínɛ́	n d ɛ̀ d ò + mm ù + d ɔ́ m + m í n ɛ́	72	n d ɛ̀ d ò + mm ù + d ɔ́ m + m í n ɛ́
13099	ToroTegu	(a) guard, watchman	mètù+métú+nú	m è t ù + m é t ú + n ú	73	m è t ù + m é t ú + n ú
13100	YandaDom	(a) guard, watchman	dɔ̀+mú	d ɔ̀ + m ú	74	d ɔ̀ + m ú
9780	BenTey	(a) sacrifice (e.g. a slaughtered animal)	sádí+gà	s á d í + g à	75	s á d í + g à
9781	DogulDomBendiely	(a) sacrifice (e.g. a slaughtered animal)	sàrá+gá	s à r á + g á	75	s à r á + g á
9782	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sàlà+mbɔ́	s à l à + m b ɔ́	77	s à l à + m b ɔ́
9783	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sár+gà	s á r + g à	75	s á r - + g à
9784	JamsayDouentza	(a) sacrifice (e.g. a slaughtered animal)	sádá+kà	s á d á + k à	75	s á d á + k à
9785	Mombo	(a) sacrifice (e.g. a slaughtered animal)	sárá+gà	s á r á + g à	75	s á r á + g à
9786	Nanga	(a) sacrifice (e.g. a slaughtered animal)	sárí+gà	s á r í + g à	75	s á r í + g à
9787	Tiranige	(a) sacrifice (e.g. a slaughtered animal)	sálá+mpɔ́	s á l á + m p ɔ́	77	s á l á + m p ɔ́
9788	TogoKan	(a) sacrifice (e.g. a slaughtered animal)	sàrú+gá	s à r ú + g á	75	s à r ú + g á
9789	TommoSoTongoTongo	(a) sacrifice (e.g. a slaughtered animal)	sàlà+mbɔ́	s à l à + m b ɔ́	77	s à l à + m b ɔ́
9790	ToroTegu	(a) sacrifice (e.g. a slaughtered animal)	sádá+kà	s á d á + k à	75	s á d á + k à
9791	YandaDom	(a) sacrifice (e.g. a slaughtered animal)	sàlà+mbɔ́	s à l à + m b ɔ́	77	s à l à + m b ɔ́
12233	BenTey	(a) shop, store	bìdí+gì	b ì d í + g ì	82	b ì d í + g ì
12234	Bunoge	(a) shop, store	bítí+gì	b í t í + g ì	82	b í t í + g ì
12235	DonnoSo	(a) shop, store	bùdí+gù	b ù d í + g ù	82	b ù d í + g ù
12236	JamsayDouentza	(a) shop, store	bìdí+gù	b ì d í + g ù	82	b ì d í + g ù
12237	Mombo	(a) shop, store	bírí+gì	b í r í + g ì	82	b í r í + g ì
